date,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,6.48,94840,94840,0,0,6.45,"Aug 5, 13",0
2013-08-06,6.13,3133,3133,-0.35,-5.401,5.9501,"Aug 6, 13",-0.054012345679012426
2013-08-07,5.71,29200,29200,-0.42,-6.852,5.8148,"Aug 7, 13",-0.11882716049382723
2013-08-08,6.22,200,200,0.51,8.932,6.21,"Aug 8, 13",-0.04012345679012356
2013-08-12,6.2,202400,202400,-0.02,-0.322,6.1796,"Aug 12, 13",-0.04320987654320991
2013-08-13,6.2,1100,1100,0,0,6.2027,"Aug 13, 13",-0.04320987654320991
2013-08-14,6.23,500,500,0.03,0.484,5.84,"Aug 14, 13",-0.038580246913580245
2013-08-15,5.59,4300,4300,-0.64,-10.273,5.6623,"Aug 15, 13",-0.13734567901234576
2013-08-16,5.94,200,200,0.35,6.261,5.915,"Aug 16, 13",-0.08333333333333333
2013-08-20,6.17,400,400,0.23,3.872,6.13,"Aug 20, 13",-0.04783950617283958
2013-08-21,6.17,4500,4500,0,0,6.1722,"Aug 21, 13",-0.04783950617283958
2013-08-22,6.23,200,200,0.06,0.972,6.265,"Aug 22, 13",-0.038580246913580245
2013-08-26,6.23,300000,300000,0,0,5.858,"Aug 26, 13",-0.038580246913580245
2013-08-27,5.27,22406,22406,-0.96,-15.409,5.4132,"Aug 27, 13",-0.1867283950617285
2013-08-28,5.27,200,200,0,0,5.28,"Aug 28, 13",-0.1867283950617285
2013-08-29,5.65,100,100,0.38,7.211,5.65,"Aug 29, 13",-0.12808641975308643
2013-09-03,5.77,100,100,0.12,2.124,5.77,"Sep 3, 13",-0.10956790123456803
2013-09-04,5.68,2800,2800,-0.09,-1.56,5.7539,"Sep 4, 13",-0.1234567901234569
2013-09-05,5.87,200,200,0.19,3.345,5.825,"Sep 5, 13",-0.09413580246913585
2013-09-09,5.92,400,400,0.05,0.852,5.7575,"Sep 9, 13",-0.08641975308641982
2013-09-10,6,603300,603300,0.08,1.351,5.6135,"Sep 10, 13",-0.07407407407407414
2013-09-11,5.95,1000,1000,-0.05,-0.833,5.95,"Sep 11, 13",-0.08179012345679015
2013-09-12,5.98,4700,4700,0.03,0.504,5.8732,"Sep 12, 13",-0.07716049382716049
2013-09-16,6.08,5700,5700,0.1,1.672,6.0024,"Sep 16, 13",-0.06172839506172845
2013-09-18,5.75,4300,4300,-0.33,-5.428,5.7981,"Sep 18, 13",-0.11265432098765438
2013-09-19,5.25,29252,29252,-0.5,-8.696,5.1441,"Sep 19, 13",-0.18981481481481488
2013-09-20,5.5,5500,5500,0.25,4.762,5.4997,"Sep 20, 13",-0.15123456790123463
2013-09-23,5.15,55667,55667,-0.35,-6.364,5.1444,"Sep 23, 13",-0.2052469135802469
2013-09-24,5.15,8997,8997,0,0,5.1501,"Sep 24, 13",-0.2052469135802469
2013-09-25,5.2756,2100,2100,0.1256,2.439,5.0477,"Sep 25, 13",-0.18586419753086428
2013-09-26,5.07,10368,10368,-0.2056,-3.897,5.055,"Sep 26, 13",-0.2175925925925926
2013-09-30,4.92,100,100,-0.15,-2.959,4.92,"Sep 30, 13",-0.2407407407407408
2013-10-01,5.35,200,200,0.43,8.74,5.35,"Oct 1, 13",-0.17438271604938282
2013-10-02,5,1100,1100,-0.35,-6.542,5.0064,"Oct 2, 13",-0.2283950617283951
2013-10-03,4.95,900,900,-0.05,-1,4.9317,"Oct 3, 13",-0.23611111111111113
2013-10-04,5.38,24270,24270,0.43,8.687,5.2467,"Oct 4, 13",-0.16975308641975315
2013-10-07,5.03,38505,38505,-0.35,-6.506,5.0348,"Oct 7, 13",-0.22376543209876545
2013-10-08,5.13,24200,24200,0.1,1.988,5.0237,"Oct 8, 13",-0.2083333333333334
2013-10-09,5.11,600,600,-0.02,-0.39,5.0517,"Oct 9, 13",-0.21141975308641975
2013-10-10,5.36,1300,1300,0.25,4.892,5.2931,"Oct 10, 13",-0.17283950617283952
2013-10-11,5.5,434700,434700,0.14,2.612,5.411,"Oct 11, 13",-0.15123456790123463
2013-10-14,5.74,700,700,0.24,4.364,5.5686,"Oct 14, 13",-0.11419753086419755
2013-10-15,5.85,5800,5800,0.11,1.916,5.7824,"Oct 15, 13",-0.09722222222222233
2013-10-16,5.97,6971,6971,0.12,2.051,5.9327,"Oct 16, 13",-0.0787037037037038
2013-10-17,6.18,1200,1200,0.21,3.518,6.025,"Oct 17, 13",-0.046296296296296405
2013-10-18,6.36,2000,2000,0.18,2.913,6.301,"Oct 18, 13",-0.018518518518518535
2013-10-21,6.4,800,800,0.04,0.629,6.3975,"Oct 21, 13",-0.012345679012345689
2013-10-22,5.22,26118,26118,-1.18,-18.438,5.2872,"Oct 22, 13",-0.19444444444444453
2013-10-23,5.28,2200,2200,0.06,1.149,5.2848,"Oct 23, 13",-0.1851851851851852
2013-10-24,5.62,2600,2600,0.34,6.439,5.5277,"Oct 24, 13",-0.13271604938271608
2013-10-25,5.63,3300,3300,0.01,0.178,5.6606,"Oct 25, 13",-0.13117283950617292
2013-10-29,5.64,400,400,0.01,0.178,5.595,"Oct 29, 13",-0.12962962962962973
2013-10-30,5.66,1100,1100,0.02,0.355,5.6591,"Oct 30, 13",-0.12654320987654324
