date,open,high,low,close,volume,unadjustedVolume,change,changePercent,label,changeOverTime
2013-08-05,13.3,13.4,13,13,21050,42100,-0.3,-2.256,"Aug 5, 13",0
2013-08-06,12.8,12.8,12.2,12.4,39550,79100,-0.6,-4.615,"Aug 6, 13",-0.04615384615384613
2013-08-07,12.24,12.9,12.2,12.9,18650,37300,0.5,4.032,"Aug 7, 13",-0.007692307692307665
2013-08-08,13,13.8,12.8,13.1,9300,18600,0.2,1.55,"Aug 8, 13",0.007692307692307665
2013-08-09,13.1,13.1,12.28,12.8,31900,63800,-0.3,-2.29,"Aug 9, 13",-0.01538461538461533
2013-08-12,12.7,12.98,12.7,12.98,2000,4000,0.18,1.406,"Aug 12, 13",-0.0015384615384615057
2013-08-13,12.72,13,12.4,12.4,13650,27300,-0.58,-4.468,"Aug 13, 13",-0.04615384615384613
2013-08-14,12.5,12.86,12.36,12.5,19900,39800,0.1,0.806,"Aug 14, 13",-0.038461538461538464
2013-08-15,12.5,12.7,12.22,12.52,16000,32000,0.02,0.16,"Aug 15, 13",-0.036923076923076954
2013-08-16,12.5,12.5,12.22,12.3,10200,20400,-0.22,-1.757,"Aug 16, 13",-0.053846153846153794
2013-08-19,12.22,12.22,11.66,11.7,17350,34700,-0.6,-4.878,"Aug 19, 13",-0.10000000000000006
2013-08-20,11.62,12.08,11.62,11.96,9400,18800,0.26,2.222,"Aug 20, 13",-0.07999999999999993
2013-08-21,11.78,12.06,11.72,11.9,9100,18200,-0.06,-0.502,"Aug 21, 13",-0.08461538461538459
2013-08-22,11.7,11.8,11.52,11.8,5400,10800,-0.1,-0.84,"Aug 22, 13",-0.09230769230769226
2013-08-23,11.8,12.16,11.7,11.7,4150,8300,-0.1,-0.847,"Aug 23, 13",-0.10000000000000006
2013-08-26,11.66,11.66,11.1,11.26,2750,5500,-0.44,-3.761,"Aug 26, 13",-0.13384615384615386
2013-08-27,11.4,11.5,11.4,11.5,1850,3700,0.24,2.131,"Aug 27, 13",-0.11538461538461539
2013-08-28,11.1,11.4,10.8,11.2,10000,20000,-0.3,-2.609,"Aug 28, 13",-0.13846153846153852
2013-08-29,12,12,11.12,11.2,25950,51900,0,0,"Aug 29, 13",-0.13846153846153852
2013-08-30,11.1,11.48,10.6,11.48,14350,28700,0.28,2.5,"Aug 30, 13",-0.1169230769230769
2013-09-03,11.2,11.4,10.82,10.9,10950,21900,-0.58,-5.052,"Sep 3, 13",-0.16153846153846152
2013-09-04,10.8,10.8,10.52,10.7,5700,11400,-0.2,-1.835,"Sep 4, 13",-0.176923076923077
2013-09-05,10.5,11.02,10.5,10.8,4250,8500,0.1,0.935,"Sep 5, 13",-0.16923076923076918
2013-09-06,10.74,11.9,10.72,11.8,18350,36700,1,9.259,"Sep 6, 13",-0.09230769230769226
2013-09-09,11.8,11.8,11.46,11.7,38100,76200,-0.1,-0.847,"Sep 9, 13",-0.10000000000000006
2013-09-10,11.8,12.16,11.54,12.16,53600,107200,0.46,3.932,"Sep 10, 13",-0.0646153846153846
2013-09-11,12.02,12.2,11.6,11.84,14500,29000,-0.32,-2.632,"Sep 11, 13",-0.08923076923076924
2013-09-12,11.84,12.2,11.4,12,24100,48200,0.16,1.351,"Sep 12, 13",-0.07692307692307693
2013-09-13,11.6,12.18,11.6,12.02,25100,50200,0.02,0.167,"Sep 13, 13",-0.07538461538461541
2013-09-16,11.8,12.08,11.44,11.92,12400,24800,-0.1,-0.832,"Sep 16, 13",-0.08307692307692308
2013-09-17,11.5,11.6,11.34,11.56,3050,6100,-0.36,-3.02,"Sep 17, 13",-0.11076923076923073
2013-09-18,11.4,11.4,11.02,11.18,3400,6800,-0.38,-3.287,"Sep 18, 13",-0.14
2013-09-19,11.04,11.52,10.8,10.92,10000,20000,-0.26,-2.326,"Sep 19, 13",-0.16
2013-09-20,10.84,11,10.8,11,2000,4000,0.08,0.733,"Sep 20, 13",-0.15384615384615385
2013-09-23,11,11.2,10.66,10.66,1150,2300,-0.34,-3.091,"Sep 23, 13",-0.18
2013-09-24,10.68,11.1,10.66,10.8,7700,15400,0.14,1.313,"Sep 24, 13",-0.16923076923076918
2013-09-25,10.8,10.8,10.1,10.3,54000,108000,-0.5,-4.63,"Sep 25, 13",-0.20769230769230765
2013-09-26,10.32,10.4,10.16,10.22,4450,8900,-0.08,-0.777,"Sep 26, 13",-0.2138461538461538
2013-09-27,10.22,10.36,10,10.1,28650,57300,-0.12,-1.174,"Sep 27, 13",-0.22307692307692312
2013-09-30,10.2,10.38,10.2,10.38,8450,16900,0.28,2.772,"Sep 30, 13",-0.20153846153846147
2013-10-01,10.5,10.9,10.5,10.7,34450,68900,0.32,3.083,"Oct 1, 13",-0.176923076923077
2013-10-02,10.9,10.9,10.7,10.7,10250,20500,0,0,"Oct 2, 13",-0.176923076923077
2013-10-03,10.7,10.7,10.1,10.44,5800,11600,-0.26,-2.43,"Oct 3, 13",-0.19692307692307695
2013-10-04,10.4,10.4,10,10.2,5100,10200,-0.24,-2.299,"Oct 4, 13",-0.21538461538461545
2013-10-07,10,10.14,9.5,9.5,4450,8900,-0.7,-6.863,"Oct 7, 13",-0.2692307692307692
2013-10-08,9.6,10.14,8.84,9.2,15500,31000,-0.3,-3.158,"Oct 8, 13",-0.2923076923076924
2013-10-09,9,9.28,9,9.28,14750,29500,0.08,0.87,"Oct 9, 13",-0.2861538461538462
2013-10-10,9.1,9.3,9.02,9.3,15100,30200,0.02,0.216,"Oct 10, 13",-0.28461538461538455
2013-10-11,9.6,10.16,9.6,10.06,9450,18900,0.76,8.172,"Oct 11, 13",-0.22615384615384612
2013-10-14,9.9,10.1,9.5,9.56,4350,8700,-0.5,-4.97,"Oct 14, 13",-0.2646153846153846
2013-10-15,9.5,9.58,9.4,9.58,550,1100,0.02,0.209,"Oct 15, 13",-0.2630769230769231
2013-10-16,9.3,9.38,9.2,9.2,2000,4000,-0.38,-3.967,"Oct 16, 13",-0.2923076923076924
2013-10-17,9,11.7,9,10.6,17150,34300,1.4,15.217,"Oct 17, 13",-0.18461538461538465
2013-10-18,10.1,11.46,10.1,11.46,32700,65400,0.86,8.113,"Oct 18, 13",-0.1184615384615384
2013-10-21,11,11.56,11,11.3,21450,42900,-0.16,-1.396,"Oct 21, 13",-0.13076923076923072
2013-10-22,11.5,11.54,11.2,11.22,2500,5000,-0.08,-0.708,"Oct 22, 13",-0.13692307692307687
2013-10-23,11.5,11.5,11.2,11.2,19600,39200,-0.02,-0.178,"Oct 23, 13",-0.13846153846153852
2013-10-24,11.5,11.5,11.2,11.2,2500,5000,0,0,"Oct 24, 13",-0.13846153846153852
2013-10-25,11.3,11.32,11.1,11.3,8200,16400,0.1,0.893,"Oct 25, 13",-0.13076923076923072
2013-10-28,11.38,11.6,11.2,11.6,11350,22700,0.3,2.655,"Oct 28, 13",-0.10769230769230773
2013-10-29,11.1,11.4,10.64,11.4,150600,301200,-0.2,-1.724,"Oct 29, 13",-0.12307692307692306
