date,open,high,low,close,volume,unadjustedVolume,change,changePercent,label,changeOverTime
2013-08-05,13.44,13.8,13.44,13.8,267,3200,0.359988,2.678,"Aug 5, 13",0
2013-08-06,13.8,13.8,13.68,13.68,667,8000,-0.12,-0.87,"Aug 6, 13",-0.008695652173913115
2013-08-07,13.68,13.68,13.44,13.68,33,400,0,0,"Aug 7, 13",-0.008695652173913115
2013-08-08,13.56,13.56,13.56,13.56,25,300,-0.12,-0.877,"Aug 8, 13",-0.0173913043478261
2013-08-09,13.56,13.8,13.56,13.68,92,1100,0.12,0.885,"Aug 9, 13",-0.008695652173913115
2013-08-12,13.68,13.68,13.44,13.44,58,700,-0.239988,-1.754,"Aug 12, 13",-0.026086956521739216
2013-08-13,13.44,13.8,13.2,13.2,258,3100,-0.24,-1.786,"Aug 13, 13",-0.04347826086956532
2013-08-14,13.2,15,13.08,15,1483,17800,1.8,13.636,"Aug 14, 13",0.08695652173913038
2013-08-15,15.6,17.4,15.6,17.4,333,4000,2.4,16,"Aug 15, 13",0.26086956521739113
2013-08-16,17.04,17.04,17.04,17.04,333,4000,-0.360012,-2.069,"Aug 16, 13",0.23478260869565204
2013-08-19,16.56,17.04,16.56,16.92,33,400,-0.12,-0.704,"Aug 19, 13",0.22608695652173919
2013-08-20,15.6,17.16,15,17.16,1208,14500,0.24,1.418,"Aug 20, 13",0.24347826086956517
2013-08-21,16.2,16.32,15.6,16.2,1608,19300,-0.959988,-5.594,"Aug 21, 13",0.17391304347826075
2013-08-22,16.2,16.2,16.2,16.2,0,0,0,0,"Aug 22, 13",0.17391304347826075
2013-08-23,16.68,16.68,16.68,16.68,25,300,0.479988,2.963,"Aug 23, 13",0.20869565217391295
2013-08-26,15.84,16.68,15.84,16.68,33,400,0,0,"Aug 26, 13",0.20869565217391295
2013-08-27,16.68,16.68,15.12,15.6,425,5100,-1.08,-6.475,"Aug 27, 13",0.13043478260869557
2013-08-28,16.2,16.2,15.6,16.2,92,1100,0.600012,3.846,"Aug 28, 13",0.17391304347826075
2013-08-29,16.8,16.8,15.6,15.6,8,100,-0.600012,-3.704,"Aug 29, 13",0.13043478260869557
2013-08-30,15.6,15.6,15.6,15.6,0,0,0,0,"Aug 30, 13",0.13043478260869557
2013-09-03,15.6,15.96,15.6,15.96,8,100,0.36,2.308,"Sep 3, 13",0.1565217391304348
2013-09-04,15.36,17.4,15,17.4,1733,20800,1.44,9.023,"Sep 4, 13",0.26086956521739113
2013-09-05,17.88,18.48,17.76,18.48,325,3900,1.08,6.207,"Sep 5, 13",0.3391304347826087
2013-09-06,18.48,19.08,18.48,19.08,133,1600,0.6,3.247,"Sep 6, 13",0.3826086956521737
2013-09-09,19.08,19.2,16.8,18.6,258,3100,-0.48,-2.516,"Sep 9, 13",0.3478260869565218
2013-09-10,18.6,19.8,18.6,19.68,525,6300,1.08,5.806,"Sep 10, 13",0.42608695652173906
2013-09-11,18.84,21.24,18.6,21,717,8600,1.32,6.707,"Sep 11, 13",0.5217391304347825
2013-09-12,21,21.6,16.2,20.16,358,4300,-0.84,-4,"Sep 12, 13",0.46086956521739125
2013-09-13,20.4,23.88,20.16,22.8,1150,13800,2.64,13.095,"Sep 13, 13",0.6521739130434783
2013-09-16,22.56,22.56,19.8,20.4,733,8800,-2.4,-10.526,"Sep 16, 13",0.47826086956521724
2013-09-17,21,21.6,21,21.6,308,3700,1.2,5.882,"Sep 17, 13",0.5652173913043479
2013-09-18,21.6,21.6,20.4,20.4,192,2300,-1.2,-5.556,"Sep 18, 13",0.47826086956521724
2013-09-19,20.4,21.6,20.4,21,75,900,0.6,2.941,"Sep 19, 13",0.5217391304347825
2013-09-20,21,21.36,21,21.36,33,400,0.36,1.714,"Sep 20, 13",0.5478260869565216
2013-09-23,21.12,21.6,21,21.36,42,500,0,0,"Sep 23, 13",0.5478260869565216
2013-09-24,21.36,21.36,20.4,21.36,42,500,0,0,"Sep 24, 13",0.5478260869565216
2013-09-25,21.6,21.6,19.8,20.16,200,2400,-1.2,-5.618,"Sep 25, 13",0.46086956521739125
2013-09-26,21.6,21.6,21,21,108,1300,0.84,4.167,"Sep 26, 13",0.5217391304347825
2013-09-27,21.36,21.36,20.52,20.52,8,100,-0.48,-2.286,"Sep 27, 13",0.48695652173913034
