date,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-09-24,0.3247,5621,5621,0.3247,0,0.349,"Sep 24, 13",0
2013-10-04,0.4,3100,3100,0.0753,23.191,0.4,"Oct 4, 13",0.23190637511549134
2015-08-04,6,345639,345639,5.6,1400,5.8847,"Aug 4, 15",17.478595626732368
2015-08-05,6.03,111956,111956,0.03,0.5,5.9712,"Aug 5, 15",17.57098860486603
2015-08-06,6.1,76147,76147,0.07,1.161,6.0615,"Aug 6, 15",17.78657222051124
2015-08-07,5.99,38514,38514,-0.11,-1.803,6.0051,"Aug 7, 15",17.447797967354482
2015-08-10,6.08,103031,103031,0.09,1.503,6.0457,"Aug 10, 15",17.72497690175547
2015-08-11,6.04,88059,88059,-0.04,-0.658,6.0745,"Aug 11, 15",17.60178626424392
2015-08-12,6.03,8877,8877,-0.01,-0.166,5.9896,"Aug 12, 15",17.57098860486603
2015-08-13,6.082,49753,49753,0.052,0.862,6.0614,"Aug 13, 15",17.731136433631043
2015-08-14,6.1,29617,29617,0.018,0.296,6.0692,"Aug 14, 15",17.78657222051124
2015-08-17,6.1,15424,15424,0,0,6.0522,"Aug 17, 15",17.78657222051124
2015-08-18,6.09,8810,8810,-0.01,-0.164,6.0234,"Aug 18, 15",17.755774561133354
2015-08-19,6.05,19615,19615,-0.04,-0.657,5.915,"Aug 19, 15",17.632583923621805
2015-08-20,6.03,22646,22646,-0.02,-0.331,5.9905,"Aug 20, 15",17.57098860486603
2015-08-21,5.94,48240,48240,-0.09,-1.493,5.8617,"Aug 21, 15",17.293809670465045
2015-08-24,5.63,29275,29275,-0.31,-5.219,5.5121,"Aug 24, 15",16.339082229750538
2015-08-25,5.79,21845,21845,0.16,2.842,5.7222,"Aug 25, 15",16.831844779796736
2015-08-26,5.75,54476,54476,-0.04,-0.691,5.5181,"Aug 26, 15",16.708654142285187
2015-08-27,5.68,3880,3880,-0.07,-1.217,5.6195,"Aug 27, 15",16.493070526639976
2015-08-28,5.75,17591,17591,0.07,1.232,5.5757,"Aug 28, 15",16.708654142285187
2015-08-31,5.55,53939,53939,-0.2,-3.478,5.4601,"Aug 31, 15",16.09270095472744
2015-09-01,5.52,4977,4977,-0.03,-0.541,5.4859,"Sep 1, 15",16.000307976593778
2015-09-02,5.69,10028,10028,0.17,3.08,5.6615,"Sep 2, 15",16.523868186017864
2015-09-03,5.7,5729,5729,0.01,0.176,5.559,"Sep 3, 15",16.55466584539575
2015-09-04,5.67,5750,5750,-0.03,-0.526,5.5748,"Sep 4, 15",16.46227286726209
2015-09-08,5.65,8898,8898,-0.02,-0.353,5.6467,"Sep 8, 15",16.400677548506316
2015-09-09,5.6,17648,17648,-0.05,-0.885,5.5496,"Sep 9, 15",16.24668925161688
2015-09-10,5.65,6336,6336,0.05,0.893,5.6106,"Sep 10, 15",16.400677548506316
2015-09-11,5.64,6323,6323,-0.01,-0.177,5.6363,"Sep 11, 15",16.369879889128427
2015-09-14,5.83,2780,2780,0.19,3.369,5.65,"Sep 14, 15",16.955035417308284
2015-09-15,5.84,3138,3138,0.01,0.172,5.7857,"Sep 15, 15",16.985833076686173
2015-09-16,5.99,10294,10294,0.15,2.568,5.9484,"Sep 16, 15",17.447797967354482
2015-09-17,5.97,10749,10749,-0.02,-0.334,5.9149,"Sep 17, 15",17.386202648598708
2015-09-18,6.19,50585,50585,0.22,3.685,6.0687,"Sep 18, 15",18.06375115491223
2015-09-21,5.97,52803,52803,-0.22,-3.554,6.0206,"Sep 21, 15",17.386202648598708
2015-09-22,5.93,3271,3271,-0.04,-0.67,5.9233,"Sep 22, 15",17.263012011087156
2015-09-23,5.91,1800,1800,-0.02,-0.337,5.88,"Sep 23, 15",17.201416692331385
