date,close,volume,unadjustedVolume,change,changePercent,label,changeOverTime
2016-04-07,41.56,0,0,41.56,0,"Apr 7, 16",0
2016-04-08,44.02,3602269,3602269,2.46,5.919,"Apr 8, 16",0.05919153031761311
2016-04-11,41.46,4094862,4094862,-2.56,-5.816,"Apr 11, 16",-0.0024061597690086963
2016-04-12,41.65,3613194,3613194,0.19,0.458,"Apr 12, 16",0.002165543792107707
2016-04-13,41.8,4425387,4425387,0.15,0.36,"Apr 13, 16",0.005774783445620666
2016-04-14,42.23,2525995,2525995,0.43,1.029,"Apr 14, 16",0.016121270452357905
2016-04-15,42,2344083,2344083,-0.23,-0.545,"Apr 15, 16",0.010587102983638057
2016-04-18,42.42,2541724,2541724,0.42,1,"Apr 18, 16",0.02069297401347448
2016-04-19,43,1644552,1644552,0.58,1.367,"Apr 19, 16",0.03464870067372468
2016-04-20,42.76,2267344,2267344,-0.24,-0.558,"Apr 20, 16",0.02887391722810384
2016-04-21,45.73,3270959,3270959,2.97,6.946,"Apr 21, 16",0.10033686236766108
2016-04-22,45.06,2398820,2398820,-0.67,-1.465,"Apr 22, 16",0.08421559191530317
2016-04-25,44.26,2107535,2107535,-0.8,-1.775,"Apr 25, 16",0.06496631376323378
2016-04-26,43.95,2181075,2181075,-0.31,-0.7,"Apr 26, 16",0.05750721847930704
2016-04-27,42.16,1280876,1280876,-1.79,-4.073,"Apr 27, 16",0.014436958614051835
2016-04-28,41.89,1445833,1445833,-0.27,-0.64,"Apr 28, 16",0.007940327237728544
2016-04-29,40.8,1964394,1964394,-1.09,-2.602,"Apr 29, 16",-0.018286814244465956
2016-05-02,40.27,1453798,1453798,-0.53,-1.299,"May 2, 16",-0.03103946102021172
2016-05-03,40.12,1539218,1539218,-0.15,-0.372,"May 3, 16",-0.03464870067372485
2016-05-04,37.39,4516156,4516156,-2.73,-6.805,"May 4, 16",-0.10033686236766125
2016-05-05,37.49,1121631,1121631,0.1,0.267,"May 5, 16",-0.09793070259865255
2016-05-06,36.38,1346938,1346938,-1.11,-2.961,"May 6, 16",-0.12463907603464869
2016-05-09,36.31,1705626,1705626,-0.07,-0.192,"May 9, 16",-0.12632338787295475
2016-05-10,36.55,1282800,1282800,0.24,0.661,"May 10, 16",-0.12054860442733409
2016-05-11,35.23,1941428,1941428,-1.32,-3.611,"May 11, 16",-0.15230991337824842
2016-05-12,35.19,1634456,1634456,-0.04,-0.114,"May 12, 16",-0.15327237728585189
2016-05-13,34.71,1908143,1908143,-0.48,-1.364,"May 13, 16",-0.1648219441770934
2016-05-16,34.54,1695997,1695997,-0.17,-0.49,"May 16, 16",-0.16891241578440816
2016-05-17,34.47,1895456,1895456,-0.07,-0.203,"May 17, 16",-0.17059672762271422
2016-05-18,34.22,980956,980956,-0.25,-0.725,"May 18, 16",-0.17661212704523588
2016-05-19,34.85,1057401,1057401,0.63,1.841,"May 19, 16",-0.16145332050048125
2016-05-20,35.58,1052853,1052853,0.73,2.095,"May 20, 16",-0.14388835418671808
2016-05-23,34.83,683835,683835,-0.75,-2.108,"May 23, 16",-0.16193455245428306
2016-05-24,35.58,1143097,1143097,0.75,2.153,"May 24, 16",-0.14388835418671808
2016-05-25,35.48,1322956,1322956,-0.1,-0.281,"May 25, 16",-0.1462945139557268
2016-05-26,34.92,875007,875007,-0.56,-1.578,"May 26, 16",-0.15976900866217517
2016-05-27,35.06,1105514,1105514,0.14,0.401,"May 27, 16",-0.15640038498556302
2016-05-31,34.97,6311414,6311414,-0.09,-0.257,"May 31, 16",-0.15856592877767092
2016-06-01,33.72,3080985,3080985,-1.25,-3.574,"Jun 1, 16",-0.18864292589027917
2016-06-02,34.22,2785411,2785411,0.5,1.483,"Jun 2, 16",-0.17661212704523588
2016-06-03,34.16,967862,967862,-0.06,-0.175,"Jun 3, 16",-0.17805582290664113
2016-06-06,34.4,1956465,1956465,0.24,0.703,"Jun 6, 16",-0.1722810394610203
2016-06-07,35.2,1441146,1441146,0.8,2.326,"Jun 7, 16",-0.15303176130895088
2016-06-08,36.44,1287361,1287361,1.24,3.523,"Jun 8, 16",-0.12319538017324361
2016-06-09,36.14,1224965,1224965,-0.3,-0.823,"Jun 9, 16",-0.1304138594802695
2016-06-10,35.54,616887,616887,-0.6,-1.66,"Jun 10, 16",-0.14485081809432154
2016-06-13,34.68,1254294,1254294,-0.86,-2.42,"Jun 13, 16",-0.16554379210779602
