date,high,low,close,volume,unadjustedVolume,change,changePercent,label,changeOverTime
2014-02-19,0,0,0.15,0,0,0.15,0,"Feb 19, 14",0
2014-02-20,0,0,0.15,0,0,0,0,"Feb 20, 14",0
2014-02-21,0,0,0.15,0,0,0,0,"Feb 21, 14",0
2014-02-24,0,0,0.15,0,0,0,0,"Feb 24, 14",0
2014-02-25,0,0,0.15,0,0,0,0,"Feb 25, 14",0
2014-04-09,0.15,0.15,0.15,1000,1000,0,0,"Apr 9, 14",0
2014-09-08,2,2,2,2000,2000,1.85,1233.333,"Sep 8, 14",12.333333333333334
2014-09-09,2.5,2.25,2.25,5567,5567,0.25,12.5,"Sep 9, 14",14.000000000000002
2014-09-10,2.25,1.75,2.25,6233,6233,0,0,"Sep 10, 14",14.000000000000002
2014-09-11,2.75,2.25,2.25,2967,2967,0,0,"Sep 11, 14",14.000000000000002
2014-09-12,2.75,2.25,2.75,2533,2533,0.5,22.222,"Sep 12, 14",17.333333333333336
2014-09-16,3,3,3,800,800,0.25,9.091,"Sep 16, 14",19
2014-09-17,3,3,3,200,200,0,0,"Sep 17, 14",19
2014-09-18,3,2.75,2.75,1230,1230,-0.25,-8.333,"Sep 18, 14",17.333333333333336
2014-09-19,2.85,2.51,2.51,2600,2600,-0.24,-8.727,"Sep 19, 14",15.733333333333333
2014-09-22,2.52,2.5,2.5,7800,7800,-0.01,-0.398,"Sep 22, 14",15.666666666666668
2014-09-23,2.55,2.5,2.5,5267,5267,0,0,"Sep 23, 14",15.666666666666668
2014-09-24,2.25,1.99,2,8747,8747,-0.5,-20,"Sep 24, 14",12.333333333333334
2014-09-25,2.25,2,2.25,300,300,0.25,12.5,"Sep 25, 14",14.000000000000002
2014-09-30,2.25,2,2.25,2400,2400,0,0,"Sep 30, 14",14.000000000000002
2014-10-01,3,3,3,357,357,0.75,33.333,"Oct 1, 14",19
2014-10-13,2.99,2.99,2.99,2143,2143,-0.01,-0.333,"Oct 13, 14",18.933333333333337
2014-10-15,2.8,2.75,2.8,500,500,-0.19,-6.355,"Oct 15, 14",17.666666666666668
2014-10-16,3,3,3,1000,1000,0.2,7.143,"Oct 16, 14",19
2014-10-20,3.01,2.8,2.8,5000,5000,-0.2,-6.667,"Oct 20, 14",17.666666666666668
2014-10-21,2.81,2.81,2.81,4000,4000,0.01,0.357,"Oct 21, 14",17.733333333333334
2014-10-23,2.8,2.8,2.8,176,176,-0.01,-0.356,"Oct 23, 14",17.666666666666668
2014-10-28,2.8,2.8,2.8,2000,2000,0,0,"Oct 28, 14",17.666666666666668
2014-10-29,2.6,2.5,2.5,10600,10600,-0.3,-10.714,"Oct 29, 14",15.666666666666668
2014-10-30,,,2.5,33,33,0,0,"Oct 30, 14",15.666666666666668
2014-10-31,3.5,2.75,3.5,9800,9800,1,40,"Oct 31, 14",22.333333333333336
2014-11-06,3.4,3.4,3.4,100,100,-0.1,-2.857,"Nov 6, 14",21.666666666666668
2014-11-11,3.5,3.4,3.4,2100,2100,0,0,"Nov 11, 14",21.666666666666668
2014-11-12,3.4,3.4,3.4,100,100,0,0,"Nov 12, 14",21.666666666666668
2014-11-14,3.5,2.5,2.5,2100,2100,-0.9,-26.471,"Nov 14, 14",15.666666666666668
2014-11-17,3,2.5,3,1300,1300,0.5,20,"Nov 17, 14",19
2014-11-18,3,3,3,150,150,0,0,"Nov 18, 14",19
2014-11-21,2.5,2.5,2.5,930,930,-0.5,-16.667,"Nov 21, 14",15.666666666666668
2014-11-24,3,2.5,2.5,4200,4200,0,0,"Nov 24, 14",15.666666666666668
2014-11-25,2.5,2.31,2.31,1850,1850,-0.19,-7.6,"Nov 25, 14",14.400000000000002
2014-11-26,2.5,2.01,2.25,3400,3400,-0.06,-2.597,"Nov 26, 14",14.000000000000002
2014-11-28,2.25,2.25,2.25,2000,2000,0,0,"Nov 28, 14",14.000000000000002
2014-12-01,2.5,2.5,2.5,100,100,0.25,11.111,"Dec 1, 14",15.666666666666668
2014-12-02,2.5,2.16,2.5,1200,1200,0,0,"Dec 2, 14",15.666666666666668
2014-12-03,2.9,2.8,2.8,2976,2976,0.3,12,"Dec 3, 14",17.666666666666668
2014-12-09,2.95,2.8,2.8,3700,3700,0,0,"Dec 9, 14",17.666666666666668
2014-12-11,2.8,2.8,2.8,10050,10050,0,0,"Dec 11, 14",17.666666666666668
2014-12-15,3,3,3,600,600,0.2,7.143,"Dec 15, 14",19
2014-12-16,3,2.8,3,8900,8900,0,0,"Dec 16, 14",19
2014-12-18,,,3,24,24,0,0,"Dec 18, 14",19
2014-12-22,3,3,3,2200,2200,0,0,"Dec 22, 14",19
2014-12-23,3,3,3,1000,1000,0,0,"Dec 23, 14",19
2014-12-30,2.75,2.75,2.75,35000,35000,-0.25,-8.333,"Dec 30, 14",17.333333333333336
2014-12-31,3,3,3,100,100,0.25,9.091,"Dec 31, 14",19
2015-01-05,3,3,3,100,100,0,0,"Jan 5, 15",19
2015-01-06,3,3,3,25000,25000,0,0,"Jan 6, 15",19
2015-01-07,3,3,3,300,300,0,0,"Jan 7, 15",19
2015-01-08,3,2.75,2.75,11100,11100,-0.25,-8.333,"Jan 8, 15",17.333333333333336
2015-01-09,2.75,2.75,2.75,3777,3777,0,0,"Jan 9, 15",17.333333333333336
2015-01-13,3,3,3,200,200,0.25,9.091,"Jan 13, 15",19
2015-01-14,2.9,2.9,2.9,800,800,-0.1,-3.333,"Jan 14, 15",18.333333333333336
