date,open,high,low,close,volume,unadjustedVolume,change,changePercent,label,changeOverTime
2013-08-05,20.9337,20.9337,21.2395,21.1943,423776,211888,-0.013902,-0.066,"Aug 5, 13",0
2013-08-06,21.1522,20.9908,21.268,21.0189,453362,226681,-0.175471,-0.828,"Aug 6, 13",-0.008275810005520343
2013-08-07,21.054,20.5626,21.254,21.1978,521948,260974,0.178988,0.852,"Aug 7, 13",0.0001651387401330783
2013-08-08,21.5734,21.4997,22.4613,21.9068,522166,261083,0.708934,3.344,"Aug 8, 13",0.03361752924135273
2013-08-09,21.9594,21.9243,22.7912,22.4964,438196,219098,0.589607,2.691,"Aug 9, 13",0.06143632957917945
2013-08-12,22.7245,22.4508,22.9807,22.4578,491238,245619,-0.038603,-0.172,"Aug 12, 13",0.05961508518799869
2013-08-13,22.549,22.2858,22.6859,22.4367,416308,208154,-0.021057,-0.094,"Aug 13, 13",0.05861953449748281
2013-08-14,22.5315,22.342,22.6929,22.4999,195196,97598,0.063172,0.282,"Aug 14, 13",0.06160146831931236
2013-08-15,22.4718,22.4227,22.8824,22.8123,206570,103285,0.312352,1.388,"Aug 15, 13",0.0763412804386086
2013-08-16,22.8087,22.6368,22.9737,22.7386,195764,97882,-0.073704,-0.323,"Aug 16, 13",0.07286393039638032
2013-08-19,22.8017,22.4999,22.8017,22.6438,336336,168168,-0.094755,-0.417,"Aug 19, 13",0.068391029663636
2013-08-20,22.8263,22.5666,22.9702,22.8193,221174,110587,0.175477,0.775,"Aug 20, 13",0.07667155791887442
2013-08-21,22.8158,22.7175,22.9842,22.7596,204924,102462,-0.059662,-0.261,"Aug 21, 13",0.07385476283717796
2013-08-22,22.9351,22.8228,23.6651,23.6195,296630,148315,0.859847,3.778,"Aug 22, 13",0.11442699216298724
2013-08-23,23.5563,23.093,23.5703,23.1773,292412,146206,-0.442207,-1.872,"Aug 23, 13",0.09356289190961724
2013-08-26,23.2123,22.7596,23.3247,22.8298,262706,131353,-0.347448,-1.499,"Aug 26, 13",0.07716697413927331
2013-08-27,22.714,22.6157,22.9386,22.7526,254702,127351,-0.077211,-0.338,"Aug 27, 13",0.07352448535691213
2013-08-28,22.6964,22.549,22.8193,22.7561,270176,135088,0.00351,0.015,"Aug 28, 13",0.07368962409704505
2013-08-29,22.7035,22.6543,22.9211,22.7877,175706,87853,0.031586,0.139,"Aug 29, 13",0.07518059100795982
2013-08-30,22.8017,22.3525,22.8473,22.5455,219144,109572,-0.242161,-1.063,"Aug 30, 13",0.06375299019075895
2013-09-03,22.8368,21.9594,22.8824,22.4087,390942,195471,-0.136874,-0.607,"Sep 3, 13",0.0572984245764192
2013-09-04,22.4087,22.2086,22.6298,22.4894,253024,126512,0.080723,0.36,"Sep 4, 13",0.06110605209891346
2013-09-05,22.6754,22.5245,22.9351,22.7105,221666,110833,0.221099,0.983,"Sep 5, 13",0.07153810222559846
2013-09-06,22.8403,22.2999,22.8403,22.4894,211846,105923,-0.221099,-0.974,"Sep 6, 13",0.06110605209891346
2013-09-09,22.4648,22.1525,22.6157,22.6157,569976,284988,0.126343,0.562,"Sep 9, 13",0.0670652014928543
2013-09-10,22.6719,22.5174,22.9,22.9,348764,174382,0.284276,1.257,"Sep 10, 13",0.08047918544136869
