date,close,volume,unadjustedVolume,change,changePercent,label,changeOverTime
2013-08-16,5.2013,0,0,-0.139399,-2.61,"Aug 16, 13",0
2013-08-22,5.3407,1300,1300,0.139399,2.68,"Aug 22, 13",0.026800992059677425
2013-08-23,5.3407,200,200,0,0,"Aug 23, 13",0.026800992059677425
2013-08-26,5.3407,2500,2500,0,0,"Aug 26, 13",0.026800992059677425
2013-08-29,5.2013,400,400,-0.139399,-2.61,"Aug 29, 13",0
2013-08-30,5.2433,555,555,0.041994,0.807,"Aug 30, 13",0.008074904350835332
2013-09-05,5.2013,300,300,-0.041994,-0.801,"Sep 5, 13",0
2013-09-09,5.2275,1032,1032,0.026138,0.503,"Sep 9, 13",0.005037202237902106
2013-09-12,5.3146,1200,1200,0.087123,1.667,"Sep 12, 13",0.02178301578451553
2013-09-13,5.6457,400,400,0.331073,6.229,"Sep 13, 13",0.08544017841693421
2013-09-16,5.2536,200,200,-0.39206,-6.944,"Sep 16, 13",0.010055178513064002
2013-09-17,6.273,1315,1315,1.0194,19.403,"Sep 17, 13",0.20604464268548245
2013-09-18,6.8219,16345,16345,0.548885,8.75,"Sep 18, 13",0.3115759521658048
2013-09-19,6.8219,100,100,0,0,"Sep 19, 13",0.3115759521658048
2013-09-20,6.8131,9389,9389,-0.008712,-0.128,"Sep 20, 13",0.3098840674446774
2013-09-23,6.844,2100,2100,0.030841,0.453,"Sep 23, 13",0.31582488993136343
2013-09-24,6.7243,660,660,-0.119707,-1.749,"Sep 24, 13",0.29281141253148263
2013-09-25,6.5779,4440,4440,-0.14637,-2.177,"Sep 25, 13",0.2646646030799992
2013-09-26,7.0076,13026,13026,0.429664,6.532,"Sep 26, 13",0.3472785649741411
2013-09-27,6.9367,2261,2261,-0.070872,-1.011,"Sep 27, 13",0.33364735739142143
2013-09-30,6.9633,844,844,0.026577,0.383,"Sep 30, 13",0.33876146348028385
2013-10-02,6.8658,1340,1340,-0.097449,-1.399,"Oct 2, 13",0.32001614980870174
