date,close,volume,unadjustedVolume,change,changePercent,label,changeOverTime
2016-06-17,28.8552,0,0,28.8552,0,"Jun 17, 16",0
2016-06-20,21.1585,264039,264039,-7.6967,-26.673,"Jun 20, 16",-0.26673528514791095
2016-06-21,21.1881,186514,186514,0.029563,0.14,"Jun 21, 16",-0.2657094735091076
2016-06-22,20.6264,210440,210440,-0.561731,-2.651,"Jun 22, 16",-0.2851756355873465
2016-06-23,20.3209,118494,118494,-0.305503,-1.481,"Jun 23, 16",-0.29576298206215856
2016-06-24,19.6606,140042,140042,-0.660281,-3.249,"Jun 24, 16",-0.3186462058831684
2016-06-27,18.2316,214622,214622,-1.429,-7.268,"Jun 27, 16",-0.36816934209431923
2016-06-28,18.0739,289230,289230,-0.15768,-0.865,"Jun 28, 16",-0.37363456153483604
2016-06-29,18.0739,320820,320820,0,0,"Jun 29, 16",-0.37363456153483604
2016-06-30,18.8131,119773,119773,0.739121,4.089,"Jun 30, 16",-0.34801699520363755
2016-07-01,18.2218,49625,49625,-0.591296,-3.143,"Jul 1, 16",-0.36850896892067975
2016-07-05,18.3893,109376,109376,0.167534,0.919,"Jul 5, 16",-0.3627041226538025
2016-07-06,18.7539,55648,55648,0.364635,1.983,"Jul 6, 16",-0.3500686184812442
2016-07-07,18.34,39832,39832,-0.413909,-2.207,"Jul 7, 16",-0.3644126535251878
2016-07-08,18.3794,36580,36580,0.039419,0.215,"Jul 8, 16",-0.36304721506002385
2016-07-11,18.409,39047,39047,0.029564,0.161,"Jul 11, 16",-0.36202140342122047
2016-07-12,18.7441,53878,53878,0.33507,1.82,"Jul 12, 16",-0.3504082453076049
2016-07-13,19.2073,165435,165435,0.463181,2.471,"Jul 13, 16",-0.3343556793922759
2016-07-14,20.784,74408,74408,1.5768,8.209,"Jul 14, 16",-0.27971388172669054
2016-07-15,20.9023,124301,124301,0.118259,0.569,"Jul 15, 16",-0.2756141007513377
2016-07-18,21.0994,38985,38985,0.197097,0.943,"Jul 18, 16",-0.268783442845657
2016-07-19,21.06,43242,43242,-0.039419,-0.187,"Jul 19, 16",-0.270148881310821
2016-07-20,21.0107,25310,25310,-0.049275,-0.234,"Jul 20, 16",-0.2718574121822063
2016-07-21,21.0107,15642,15642,0,0,"Jul 21, 16",-0.2718574121822063
2016-07-22,20.7643,63716,63716,-0.246372,-1.173,"Jul 22, 16",-0.28039660095927255
2016-07-25,20.784,17510,17510,0.01971,0.095,"Jul 25, 16",-0.27971388172669054
2016-07-26,20.8826,11385,11385,0.098548,0.474,"Jul 26, 16",-0.2762968199839197
2016-07-27,20.7446,28642,28642,-0.137969,-0.661,"Jul 27, 16",-0.28107932019185455
2016-07-28,20.8038,11424,11424,0.059129,0.285,"Jul 28, 16",-0.2790276969142477
2016-07-29,21.0107,11750,11750,0.206954,0.995,"Jul 29, 16",-0.2718574121822063
2016-08-01,20.6756,14641,14641,-0.335068,-1.595,"Aug 1, 16",-0.2834705702958219
2016-08-02,20.173,122077,122077,-0.502601,-2.431,"Aug 2, 16",-0.3008885746763149
2016-08-03,19.7099,83727,83727,-0.463181,-2.296,"Aug 3, 16",-0.31693767501178294
2016-08-04,20.2814,44478,44478,0.571586,2.9,"Aug 4, 16",-0.2971318861071834
2016-08-05,20.6953,35523,35523,0.413906,2.041,"Aug 5, 16",-0.2827878510632399
