date,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-12-02,2.6281,1600,1600,2.6281,0,3.3333,"Dec 2, 13",0
2013-12-03,2.6281,5300,5300,0,0,3.2793,"Dec 3, 13",0
2013-12-06,3.003,300,300,0.3749,14.265,3.0687,"Dec 6, 13",0.14265058407214348
2013-12-16,3.003,500,500,0,0,3.5,"Dec 16, 13",0.14265058407214348
2013-12-19,3.003,4,4,0,0,3.744,"Dec 19, 13",0.14265058407214348
2013-12-23,3.003,1,1,0,0,3.399,"Dec 23, 13",0.14265058407214348
2013-12-27,3.3209,200,200,0.3179,10.586,3.3209,"Dec 27, 13",0.26361249571934103
2014-01-03,3.3209,1,1,0,0,3.459,"Jan 3, 14",0.26361249571934103
2014-01-13,3.3209,200,200,0,0,3.75,"Jan 13, 14",0.26361249571934103
2014-01-16,3.9377,140,140,0.6168,18.573,3.9377,"Jan 16, 14",0.4983067615387543
2014-01-28,3.9377,41,41,0,0,3.5048,"Jan 28, 14",0.4983067615387543
2014-01-29,3.9377,2,2,0,0,3.3395,"Jan 29, 14",0.4983067615387543
2014-02-03,3.9377,1000,1000,0,0,3.1675,"Feb 3, 14",0.4983067615387543
2014-02-04,3.9377,100,100,0,0,2.9,"Feb 4, 14",0.4983067615387543
2014-02-06,2.8324,200,200,-1.1053,-28.07,2.8595,"Feb 6, 14",0.07773676800730564
2014-02-07,2.848,1300,1300,0.0156,0.551,2.848,"Feb 7, 14",0.08367261519729081
2014-03-03,2.848,4000,4000,0,0,3.85,"Mar 3, 14",0.08367261519729081
2014-03-04,2.848,250,250,0,0,3.7932,"Mar 4, 14",0.08367261519729081
2014-03-06,2.848,3,3,0,0,3.916,"Mar 6, 14",0.08367261519729081
2014-03-07,2.848,20,20,0,0,3.701,"Mar 7, 14",0.08367261519729081
2014-03-10,2.848,69,69,0,0,3.6027,"Mar 10, 14",0.08367261519729081
2014-03-11,2.848,302,302,0,0,3.1996,"Mar 11, 14",0.08367261519729081
2014-03-13,2.848,50,50,0,0,3.0489,"Mar 13, 14",0.08367261519729081
2014-03-14,3.074,1190,1190,0.226,7.935,3.0695,"Mar 14, 14",0.16966629884707582
2014-03-20,3.074,2,2,0,0,2.9244,"Mar 20, 14",0.16966629884707582
2014-04-15,3.552,1000,1000,0.478,15.55,3.552,"Apr 15, 14",0.35154674479662124
2014-04-30,3.3246,400,400,-0.2274,-6.402,3.3246,"Apr 30, 14",0.2650203569118376
2014-05-05,3.3246,24,24,0,0,3.3219,"May 5, 14",0.2650203569118376
2014-05-20,3.3246,20,20,0,0,3.149,"May 20, 14",0.2650203569118376
2014-06-05,3.661,100,100,0.3364,10.119,3.661,"Jun 5, 14",0.39302157452151754
2014-06-09,3.8041,600,600,0.1431,3.909,3.8041,"Jun 9, 14",0.4474715573988814
2014-06-19,3.8041,7400,7400,0,0,3.8961,"Jun 19, 14",0.4474715573988814
2014-06-30,4.315,4220,4220,0.5109,13.43,4.3059,"Jun 30, 14",0.6418705528708956
2014-07-07,4.06,250,250,-0.255,-5.91,4.06,"Jul 7, 14",0.5448422814961378
2014-07-28,4.06,5,5,0,0,,"Jul 28, 14",0.5448422814961378
2014-08-05,3.414,200,200,-0.646,-15.911,3.414,"Aug 5, 14",0.29903732734675254
2014-08-26,3.414,4,4,0,0,,"Aug 26, 14",0.29903732734675254
2014-09-02,3.9,2300,2300,0.486,14.236,3.9087,"Sep 2, 14",0.48396179749629015
2014-09-03,4,5500,5500,0.1,2.564,4,"Sep 3, 14",0.522012099996195
2014-09-04,3.73,1153,1153,-0.27,-6.75,3.856,"Sep 4, 14",0.4192762832464519
2014-09-05,3.73,40,40,0,0,,"Sep 5, 14",0.4192762832464519
2014-09-08,3.73,20,20,0,0,,"Sep 8, 14",0.4192762832464519
2014-09-10,3.84,1500,1500,0.11,2.949,3.7867,"Sep 10, 14",0.46113161599634717
2014-09-11,3.55,400,400,-0.29,-7.552,3.8275,"Sep 11, 14",0.35078573874662305
2014-09-12,3.6,1720,1720,0.05,1.408,3.5757,"Sep 12, 14",0.3698108899965756
2014-09-16,3.5,200,200,-0.1,-2.778,3.5,"Sep 16, 14",0.33176058749667064
2014-09-17,3.4,2000,2000,-0.1,-2.857,3.4033,"Sep 17, 14",0.29371028499676577
2014-09-18,3.4,2100,2100,0,0,3.4029,"Sep 18, 14",0.29371028499676577
2014-09-19,3.5,700,700,0.1,2.941,3.2771,"Sep 19, 14",0.33176058749667064
2014-09-23,3.45,100,100,-0.05,-1.429,3.45,"Sep 23, 14",0.3127354362467183
2014-09-25,3.3,200,200,-0.15,-4.348,3.3,"Sep 25, 14",0.25565998249686084
2014-09-26,3.4,100,100,0.1,3.03,3.4,"Sep 26, 14",0.29371028499676577
2014-09-30,3.2,500,500,-0.2,-5.882,3.2,"Sep 30, 14",0.2176096799969561
2014-10-03,3.33,749,749,0.13,4.062,3.3243,"Oct 3, 14",0.2670750732468324
2014-10-07,3.11,300,300,-0.22,-6.607,3.11,"Oct 7, 14",0.1833644077470416
2014-10-09,3.11,6,6,0,0,,"Oct 9, 14",0.1833644077470416
2014-10-14,2.89,2240,2240,-0.22,-7.074,3.4037,"Oct 14, 14",0.09965374224725096
2014-10-15,2.94,1973,1973,0.05,1.73,2.2453,"Oct 15, 14",0.11867889349720333
2014-10-16,3.52,100,100,0.58,19.728,3.52,"Oct 16, 14",0.3393706479966516
2014-10-17,3.34,200,200,-0.18,-5.114,3.315,"Oct 17, 14",0.2708801034968228
2014-10-20,3.34,2000,2000,0,0,3.336,"Oct 20, 14",0.2708801034968228
2014-10-21,3.05,18300,18300,-0.29,-8.683,3.2824,"Oct 21, 14",0.16053422624709865
2014-10-22,3.1,300,300,0.05,1.639,3.1,"Oct 22, 14",0.1795593774970512
2014-10-23,3.07,14417,14417,-0.03,-0.968,3.201,"Oct 23, 14",0.16814428674707962
2014-10-24,2.92,35737,35737,-0.15,-4.886,3.1614,"Oct 24, 14",0.11106883299722235
2014-10-27,3.4,51510,51510,0.48,16.438,3.2735,"Oct 27, 14",0.29371028499676577
2014-10-28,3.5,4188,4188,0.1,2.941,3.4199,"Oct 28, 14",0.33176058749667064
2014-10-29,4,42615,42615,0.5,14.286,3.917,"Oct 29, 14",0.522012099996195
2014-10-30,3.625,2919,2919,-0.375,-9.375,3.777,"Oct 30, 14",0.3793234656215518
2014-10-31,3.6,2650,2650,-0.025,-0.69,3.4788,"Oct 31, 14",0.3698108899965756
2014-11-03,3.79,5442,5442,0.19,5.278,3.673,"Nov 3, 14",0.4421064647463948
2014-11-04,3.6,257,257,-0.19,-5.013,3.6,"Nov 4, 14",0.3698108899965756
