date,close,volume,unadjustedVolume,change,changePercent,label,changeOverTime
2016-07-01,49.1048,0,0,49.1048,0,"Jul 1, 16",0
2016-07-05,48.173,6230697,6230697,-0.931741,-1.897,"Jul 5, 16",-0.018975741679021104
2016-07-06,47.3305,6706473,6706473,-0.842531,-1.749,"Jul 6, 16",-0.03613292386894961
2016-07-07,47.3206,5486829,5486829,-0.009914,-0.021,"Jul 7, 16",-0.03633453348756127
2016-07-08,49.759,4243498,4243498,2.4384,5.153,"Jul 8, 16",0.0133225265147196
2016-07-11,50.6709,6042339,6042339,0.911918,1.833,"Jul 11, 16",0.03189301249572355
2016-07-12,50.1257,5552928,5552928,-0.545169,-1.076,"Jul 12, 16",0.02079022824652589
2016-07-13,50.1753,4864712,4864712,0.04956,0.099,"Jul 13, 16",0.021800312800378023
2016-07-14,51.117,3481590,3481590,0.941655,1.877,"Jul 14, 16",0.040977664098010784
2016-07-15,50.7799,3689804,3689804,-0.337012,-0.659,"Jul 15, 16",0.03411275476124535
2016-07-18,50.8394,1557534,1557534,0.059472,0.117,"Jul 18, 16",0.03532444893370914
2016-07-19,51.0971,1954651,1954651,0.257717,0.507,"Jul 19, 16",0.04057240839999349
2016-07-20,49.8978,3351687,3351687,-1.1994,-2.347,"Jul 20, 16",0.016149134096870355
2016-07-21,49.7986,3037115,3037115,-0.099121,-0.199,"Jul 21, 16",0.014128964989166092
2016-07-22,48.966,2450622,2450622,-0.832621,-1.672,"Jul 22, 16",-0.0028266075821507526
2016-07-25,48.5497,3044828,3044828,-0.41631,-0.85,"Jul 25, 16",-0.011304393867809175
2016-07-26,48.8471,1571409,1571409,0.297364,0.612,"Jul 26, 16",-0.005247959466284351
2016-07-27,48.4902,1628596,1628596,-0.356837,-0.731,"Jul 27, 16",-0.012516088040272964
2016-07-28,48.2226,2923057,2923057,-0.267628,-0.552,"Jul 28, 16",-0.017965657125168975
2016-07-29,47.7865,4484073,4484073,-0.436135,-0.904,"Jul 29, 16",-0.026846662648050714
2016-08-01,47.3801,2980989,2980989,-0.406397,-0.85,"Aug 1, 16",-0.03512283931509748
2016-08-02,47.0827,3267301,3267301,-0.297366,-0.628,"Aug 2, 16",-0.0411792737166223
2016-08-03,48.8471,4709939,4709939,1.7644,3.747,"Aug 3, 16",-0.005247959466284351
2016-08-04,49.5905,3046799,3046799,0.743411,1.522,"Aug 4, 16",0.009891090076733871
2016-08-05,50.1356,2665875,2665875,0.545169,1.099,"Aug 5, 16",0.020991837865137405
2016-08-08,49.6103,2116463,2116463,-0.525345,-1.048,"Aug 8, 16",0.010294309313957188
2016-08-09,50.0167,1077911,1077911,0.4064,0.819,"Aug 9, 16",0.018570485981003953
