date,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-04-11,8.7,8.7,8.7,26,26,8.7,0,135.7077,"Apr 11, 14",0
2014-04-14,9.3,8,8.6,7321,7321,-0.1,-1.149,8.6667,"Apr 14, 14",-0.011494252873563178
2014-04-15,4.14,3.54,4,2522915,2522915,-4.6,-53.488,4.0165,"Apr 15, 14",-0.5402298850574713
2014-04-16,4.11,4,4,425763,425763,0,0,4.0168,"Apr 16, 14",-0.5402298850574713
2014-04-17,4.1,4,4,135671,135671,0,0,4.0431,"Apr 17, 14",-0.5402298850574713
2014-04-21,4.05,4,4.02,107305,107305,0.02,0.5,4.0196,"Apr 21, 14",-0.5379310344827586
2014-04-22,4.0552,4,4.03,130742,130742,0.01,0.249,4.0126,"Apr 22, 14",-0.5367816091954022
2014-04-23,4.19,4.01,4.02,104068,104068,-0.01,-0.248,4.0541,"Apr 23, 14",-0.5379310344827586
2014-04-24,4.13,4.03,4.12,207212,207212,0.1,2.488,4.0768,"Apr 24, 14",-0.5264367816091954
2014-04-25,4.525,4.16,4.35,1092508,1092508,0.23,5.583,4.3848,"Apr 25, 14",-0.5
2014-04-28,4.6,4.28,4.3,457032,457032,-0.05,-1.149,4.4151,"Apr 28, 14",-0.5057471264367815
2014-04-29,4.4693,4.3,4.37,175613,175613,0.07,1.628,4.3727,"Apr 29, 14",-0.4977011494252873
2014-04-30,4.49,4.25,4.31,151627,151627,-0.06,-1.373,4.2998,"Apr 30, 14",-0.5045977011494253
2014-05-01,4.35,4.25,4.34,61407,61407,0.03,0.696,4.3132,"May 1, 14",-0.5011494252873563
2014-05-02,4.4991,4.3,4.33,55140,55140,-0.01,-0.23,4.3714,"May 2, 14",-0.5022988505747126
2014-05-05,4.435,4.25,4.32,93307,93307,-0.01,-0.231,4.3151,"May 5, 14",-0.5034482758620689
2014-05-06,4.4,4.305,4.37,67533,67533,0.05,1.157,4.3594,"May 6, 14",-0.4977011494252873
2014-05-07,4.31,4.1,4.18,83029,83029,-0.19,-4.348,4.2075,"May 7, 14",-0.5195402298850574
2014-05-08,4.16,3.8,3.86,154331,154331,-0.32,-7.656,3.9866,"May 8, 14",-0.5563218390804598
2014-05-09,4.12,3.8,4.12,93181,93181,0.26,6.736,3.9344,"May 9, 14",-0.5264367816091954
2014-05-12,4.15,3.85,4.03,69311,69311,-0.09,-2.184,4.0381,"May 12, 14",-0.5367816091954022
2014-05-13,4.1,3.9,4.03,37222,37222,0,0,4.0119,"May 13, 14",-0.5367816091954022
2014-05-14,4.1496,3.86,4.02,101755,101755,-0.01,-0.248,4.0444,"May 14, 14",-0.5379310344827586
2014-05-15,4.11,3.901,4.05,113913,113913,0.03,0.746,4.0111,"May 15, 14",-0.5344827586206896
2014-05-16,4.1,3.89,3.96,46038,46038,-0.09,-2.222,3.9687,"May 16, 14",-0.5448275862068965
2014-05-19,4.08,3.14,3.32,215339,215339,-0.64,-16.162,3.6613,"May 19, 14",-0.6183908045977011
2014-05-20,3.61,2.81,3,495844,495844,-0.32,-9.639,3.0752,"May 20, 14",-0.6551724137931034
2014-05-21,3.33,2.97,3.17,219093,219093,0.17,5.667,3.1249,"May 21, 14",-0.635632183908046
2014-05-22,3.33,2.9,3.25,209932,209932,0.08,2.524,3.1342,"May 22, 14",-0.6264367816091954
2014-05-23,3.75,3.3,3.5,72907,72907,0.25,7.692,3.5745,"May 23, 14",-0.5977011494252873
2014-05-27,4.1,3.53,3.94,243713,243713,0.44,12.571,3.8285,"May 27, 14",-0.5471264367816092
2014-05-28,4.1,3.69,4,76666,76666,0.06,1.523,3.9922,"May 28, 14",-0.5402298850574713
2014-05-29,4.1,3.7,3.94,81340,81340,-0.06,-1.5,3.8935,"May 29, 14",-0.5471264367816092
2014-05-30,4.25,4,4.2,248629,248629,0.26,6.599,4.1682,"May 30, 14",-0.5172413793103448
2014-06-02,4.22,3.84,4.08,147923,147923,-0.12,-2.857,4.0632,"Jun 2, 14",-0.5310344827586206
2014-06-03,4.27,3.94,4.2,131540,131540,0.12,2.941,4.1174,"Jun 3, 14",-0.5172413793103448
2014-06-04,4.27,4.12,4.24,72169,72169,0.04,0.952,4.2122,"Jun 4, 14",-0.5126436781609195
2014-06-05,4.31,4.13,4.29,96563,96563,0.05,1.179,4.2345,"Jun 5, 14",-0.5068965517241378
2014-06-06,4.34,4.18,4.2,54967,54967,-0.09,-2.098,4.2699,"Jun 6, 14",-0.5172413793103448
2014-06-09,4.5,4.2,4.45,168283,168283,0.25,5.952,4.3784,"Jun 9, 14",-0.48850574712643674
2014-06-10,4.6,4.3,4.5,163845,163845,0.05,1.124,4.4802,"Jun 10, 14",-0.48275862068965514
2014-06-11,4.98,4.15,4.98,354967,354967,0.48,10.667,4.675,"Jun 11, 14",-0.42758620689655163
2014-06-12,5.24,4.61,5.24,392495,392495,0.26,5.221,4.9636,"Jun 12, 14",-0.3977011494252873
2014-06-13,5.7,5.09,5.52,442323,442323,0.28,5.344,5.4354,"Jun 13, 14",-0.36551724137931035
2014-06-16,5.82,5.16,5.69,473537,473537,0.17,3.08,5.5558,"Jun 16, 14",-0.34597701149425275
2014-06-17,6.24,5.53,6.16,447035,447035,0.47,8.26,6.0396,"Jun 17, 14",-0.29195402298850565
2014-06-18,6.34,5.67,6.2,289520,289520,0.04,0.649,6.0253,"Jun 18, 14",-0.2873563218390804
2014-06-19,6.2,5.92,6,198553,198553,-0.2,-3.226,6.0417,"Jun 19, 14",-0.31034482758620685
2014-06-20,6.11,5.53,5.58,842871,842871,-0.42,-7,5.6316,"Jun 20, 14",-0.35862068965517235
2014-06-23,6.07,5.5,5.76,186054,186054,0.18,3.226,5.785,"Jun 23, 14",-0.3379310344827586
2014-06-24,5.9799,5.51,5.65,208817,208817,-0.11,-1.91,5.6988,"Jun 24, 14",-0.35057471264367807
2014-06-25,5.91,5.5,5.73,163659,163659,0.08,1.416,5.7617,"Jun 25, 14",-0.3413793103448275
2014-06-26,5.8,5.12,5.12,271425,271425,-0.61,-10.646,5.4504,"Jun 26, 14",-0.41149425287356317
2014-06-27,5.48,5.02,5.36,1888796,1888796,0.24,4.688,5.8709,"Jun 27, 14",-0.3839080459770114
2014-06-30,5.47,4.57,5.04,356893,356893,-0.32,-5.97,4.9169,"Jun 30, 14",-0.42068965517241375
2014-07-01,5.5,4.99,5.26,304244,304244,0.22,4.365,5.3008,"Jul 1, 14",-0.3954022988505747
2014-07-02,5.36,5.02,5.17,115588,115588,-0.09,-1.711,5.1495,"Jul 2, 14",-0.40574712643678157
2014-07-03,5.17,4.78,4.9,85663,85663,-0.27,-5.222,4.954,"Jul 3, 14",-0.4367816091954022
2014-07-07,5.15,4.77,5.02,269288,269288,0.12,2.449,4.9291,"Jul 7, 14",-0.42298850574712643
2014-07-08,5.01,4.68,4.75,141488,141488,-0.27,-5.378,4.7686,"Jul 8, 14",-0.45402298850574707
2014-07-09,4.78,4.51,4.58,118194,118194,-0.17,-3.579,4.6015,"Jul 9, 14",-0.47356321839080456
2014-07-10,4.5367,4.36,4.42,116358,116358,-0.16,-3.493,4.4349,"Jul 10, 14",-0.4919540229885057
2014-07-11,4.63,4.34,4.37,89765,89765,-0.05,-1.131,4.4693,"Jul 11, 14",-0.4977011494252873
2014-07-14,4.59,4.22,4.28,109874,109874,-0.09,-2.059,4.3459,"Jul 14, 14",-0.5080459770114942
2014-07-15,4.49,4.21,4.26,119944,119944,-0.02,-0.467,4.3099,"Jul 15, 14",-0.5103448275862069
2014-07-16,4.42,4.19,4.22,76085,76085,-0.04,-0.939,4.281,"Jul 16, 14",-0.5149425287356322
2014-07-17,4.39,4.14,4.2,90652,90652,-0.02,-0.474,4.2401,"Jul 17, 14",-0.5172413793103448
2014-07-18,4.4,4.11,4.21,115190,115190,0.01,0.238,4.212,"Jul 18, 14",-0.5160919540229885
2014-07-21,4.2899,4.1,4.19,103803,103803,-0.02,-0.475,4.193,"Jul 21, 14",-0.518390804597701
2014-07-22,4.52,4.18,4.39,67566,67566,0.2,4.773,4.4041,"Jul 22, 14",-0.4954022988505747
2014-07-23,4.73,4.4,4.53,69238,69238,0.14,3.189,4.5511,"Jul 23, 14",-0.4793103448275861
2014-07-24,4.61,4.28,4.32,87463,87463,-0.21,-4.636,4.4244,"Jul 24, 14",-0.5034482758620689
2014-07-25,4.44,4.1692,4.2,63790,63790,-0.12,-2.778,4.2904,"Jul 25, 14",-0.5172413793103448
2014-07-28,4.47,4.16,4.24,84624,84624,0.04,0.952,4.2567,"Jul 28, 14",-0.5126436781609195
2014-07-29,4.38,4.17,4.24,29128,29128,0,0,4.2413,"Jul 29, 14",-0.5126436781609195
2014-07-30,4.4,4.25,4.25,31136,31136,0.01,0.236,4.2931,"Jul 30, 14",-0.5114942528735632
2014-07-31,4.254,3.79,3.97,231428,231428,-0.28,-6.588,4.0217,"Jul 31, 14",-0.5436781609195401
2014-08-01,3.99,3.85,3.91,92889,92889,-0.06,-1.511,3.8979,"Aug 1, 14",-0.5505747126436781
2014-08-04,4.04,3.86,4.02,54928,54928,0.11,2.813,3.973,"Aug 4, 14",-0.5379310344827586
2014-08-05,4.0518,3.75,3.81,100286,100286,-0.21,-5.224,3.865,"Aug 5, 14",-0.5620689655172413
