date,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-08-06,3.9,3.54,3.7,114835,114835,-0.11,-2.887,3.7102,"Aug 6, 14",-0.5747126436781609
2014-08-07,4,3.6,3.61,58682,58682,-0.09,-2.432,3.7273,"Aug 7, 14",-0.5850574712643678
2014-08-08,3.636,3.43,3.53,71222,71222,-0.08,-2.216,3.5327,"Aug 8, 14",-0.5942528735632184
2014-08-11,3.79,3.51,3.73,51204,51204,0.2,5.666,3.685,"Aug 11, 14",-0.5712643678160919
2014-08-12,3.89,3.73,3.87,54693,54693,0.14,3.753,3.8421,"Aug 12, 14",-0.5551724137931034
2014-08-13,4.49,3.82,4.31,183565,183565,0.44,11.37,4.2046,"Aug 13, 14",-0.5045977011494253
2014-08-14,4.55,4.26,4.38,43875,43875,0.07,1.624,4.3799,"Aug 14, 14",-0.496551724137931
2014-08-15,4.46,4.27,4.3,73108,73108,-0.08,-1.826,4.3548,"Aug 15, 14",-0.5057471264367815
2014-08-18,4.38,4.19,4.27,39338,39338,-0.03,-0.698,4.2754,"Aug 18, 14",-0.5091954022988506
2014-08-19,4.3,4.06,4.11,45706,45706,-0.16,-3.747,4.1323,"Aug 19, 14",-0.5275862068965517
2014-08-20,4.12,3.93,4.07,38914,38914,-0.04,-0.973,4.0173,"Aug 20, 14",-0.5321839080459769
2014-08-21,4.05,3.96,3.96,48253,48253,-0.11,-2.703,3.984,"Aug 21, 14",-0.5448275862068965
2014-08-22,4.17,3.89,4.12,44279,44279,0.16,4.04,4.0701,"Aug 22, 14",-0.5264367816091954
2014-08-25,4.21,4.07,4.13,40831,40831,0.01,0.243,4.1438,"Aug 25, 14",-0.5252873563218391
2014-08-26,4.31,3.95,4.26,112934,112934,0.13,3.148,4.1681,"Aug 26, 14",-0.5103448275862069
2014-08-27,4.28,3.97,4.09,34819,34819,-0.17,-3.991,4.1059,"Aug 27, 14",-0.5298850574712644
2014-08-28,4.08,3.96,3.99,28060,28060,-0.1,-2.445,4.0156,"Aug 28, 14",-0.5413793103448276
2014-08-29,3.98,3.88,3.94,54807,54807,-0.05,-1.253,3.9245,"Aug 29, 14",-0.5471264367816092
2014-09-02,3.93,3.7642,3.89,52729,52729,-0.05,-1.269,3.8637,"Sep 2, 14",-0.5528735632183907
2014-09-03,3.9,3.78,3.81,32998,32998,-0.08,-2.057,3.8322,"Sep 3, 14",-0.5620689655172413
2014-09-04,3.9,3.62,3.62,61708,61708,-0.19,-4.987,3.752,"Sep 4, 14",-0.5839080459770114
2014-09-05,3.72,3.55,3.65,40128,40128,0.03,0.829,3.6348,"Sep 5, 14",-0.5804597701149424
2014-09-08,4.13,3.5201,3.98,138113,138113,0.33,9.041,3.8599,"Sep 8, 14",-0.5425287356321838
2014-09-09,4.1795,3.85,3.87,80169,80169,-0.11,-2.764,3.9604,"Sep 9, 14",-0.5551724137931034
2014-09-10,3.95,3.75,3.92,45317,45317,0.05,1.292,3.8638,"Sep 10, 14",-0.5494252873563218
2014-09-11,4.25,3.9,4.1,123938,123938,0.18,4.592,4.0109,"Sep 11, 14",-0.5287356321839081
2014-09-12,4.17,3.96,3.97,70093,70093,-0.13,-3.171,4.0824,"Sep 12, 14",-0.5436781609195401
2014-09-15,3.95,3.695,3.82,77474,77474,-0.15,-3.778,3.8155,"Sep 15, 14",-0.560919540229885
2014-09-16,3.85,3.65,3.71,73835,73835,-0.11,-2.88,3.7245,"Sep 16, 14",-0.5735632183908046
2014-09-17,4.0099,3.68,3.95,73822,73822,0.24,6.469,3.9202,"Sep 17, 14",-0.5459770114942528
2014-09-18,4.3,3.86,4.25,243346,243346,0.3,7.595,4.1272,"Sep 18, 14",-0.5114942528735632
2014-09-19,4.48,4.18,4.33,178595,178595,0.08,1.882,4.3351,"Sep 19, 14",-0.5022988505747126
2014-09-22,4.35,3.92,3.97,173249,173249,-0.36,-8.314,4.1463,"Sep 22, 14",-0.5436781609195401
2014-09-23,4.23,3.88,4.1,120744,120744,0.13,3.275,4.0692,"Sep 23, 14",-0.5287356321839081
2014-09-24,4.23,3.86,4.1,147491,147491,0,0,3.9702,"Sep 24, 14",-0.5287356321839081
2014-09-25,4.19,3.91,3.95,100884,100884,-0.15,-3.659,4.0032,"Sep 25, 14",-0.5459770114942528
2014-09-26,4.12,3.81,3.89,182870,182870,-0.06,-1.519,3.9235,"Sep 26, 14",-0.5528735632183907
2014-09-29,4.05,3.81,4.02,141039,141039,0.13,3.342,3.9402,"Sep 29, 14",-0.5379310344827586
2014-09-30,4.44,4.04,4.36,266688,266688,0.34,8.458,4.2652,"Sep 30, 14",-0.4988505747126436
2014-10-01,4.5,4.1,4.11,115747,115747,-0.25,-5.734,4.2573,"Oct 1, 14",-0.5275862068965517
2014-10-02,4.34,3.95,4.23,169247,169247,0.12,2.92,4.1378,"Oct 2, 14",-0.5137931034482758
2014-10-03,4.54,4.05,4.42,209251,209251,0.19,4.492,4.3775,"Oct 3, 14",-0.4919540229885057
2014-10-06,4.41,4.05,4.07,79155,79155,-0.35,-7.919,4.1516,"Oct 6, 14",-0.5321839080459769
2014-10-07,4.15,3.85,4.07,177600,177600,0,0,4.0014,"Oct 7, 14",-0.5321839080459769
2014-10-08,4.25,3.86,4.23,112939,112939,0.16,3.931,4.0129,"Oct 8, 14",-0.5137931034482758
2014-10-09,4.36,3.9,3.95,147584,147584,-0.28,-6.619,4.0763,"Oct 9, 14",-0.5459770114942528
2014-10-10,4.27,3.9,4.02,181374,181374,0.07,1.772,4.0843,"Oct 10, 14",-0.5379310344827586
2014-10-13,4.19,3.76,3.95,139343,139343,-0.07,-1.741,3.9333,"Oct 13, 14",-0.5459770114942528
2014-10-14,4.25,3.82,4.01,134962,134962,0.06,1.519,3.9903,"Oct 14, 14",-0.539080459770115
2014-10-15,4.14,3.9,4.12,114634,114634,0.11,2.743,4.0729,"Oct 15, 14",-0.5264367816091954
2014-10-16,4.44,4,4.19,217361,217361,0.07,1.699,4.2433,"Oct 16, 14",-0.518390804597701
2014-10-17,4.3,4.02,4.07,143680,143680,-0.12,-2.864,4.1476,"Oct 17, 14",-0.5321839080459769
2014-10-20,4.23,3.95,4.05,138385,138385,-0.02,-0.491,4.0754,"Oct 20, 14",-0.5344827586206896
2014-10-21,4.13,4.07,4.12,25728,25728,0.07,1.728,4.1035,"Oct 21, 14",-0.5264367816091954
2014-10-22,4.1899,4.01,4.04,38262,38262,-0.08,-1.942,4.0922,"Oct 22, 14",-0.5356321839080459
2014-10-23,4.35,4.01,4.1,109846,109846,0.06,1.485,4.1849,"Oct 23, 14",-0.5287356321839081
2014-10-24,4.12,4.01,4.03,54444,54444,-0.07,-1.707,4.048,"Oct 24, 14",-0.5367816091954022
2014-10-27,4.19,3.94,3.98,88238,88238,-0.05,-1.241,4.0125,"Oct 27, 14",-0.5425287356321838
2014-10-28,4.18,3.84,4.13,151623,151623,0.15,3.769,4.044,"Oct 28, 14",-0.5252873563218391
2014-10-29,4.23,4.02,4.09,89697,89697,-0.04,-0.969,4.1173,"Oct 29, 14",-0.5298850574712644
2014-10-30,3.6,3.41,3.47,105790,105790,-0.62,-15.159,3.5002,"Oct 30, 14",-0.6011494252873563
2014-10-31,4.23,4.02,4.1,115097,115097,0.63,18.156,4.1327,"Oct 31, 14",-0.5287356321839081
2014-11-03,4.23,4.03,4.16,76019,76019,0.06,1.463,4.1534,"Nov 3, 14",-0.52183908045977
2014-11-04,4.32,4.05,4.08,44883,44883,-0.08,-1.923,4.1231,"Nov 4, 14",-0.5310344827586206
2014-11-05,4.22,4.03,4.12,95819,95819,0.04,0.98,4.0985,"Nov 5, 14",-0.5264367816091954
2014-11-06,3.89,3.56,3.75,225382,225382,-0.37,-8.981,3.7341,"Nov 6, 14",-0.5689655172413792
2014-11-07,3.81,3.6,3.8,64159,64159,0.05,1.333,3.7138,"Nov 7, 14",-0.5632183908045977
2014-11-10,3.8,3.55,3.78,99818,99818,-0.02,-0.526,3.6319,"Nov 10, 14",-0.5655172413793104
2014-11-11,3.79,3.67,3.74,41113,41113,-0.04,-1.058,3.7535,"Nov 11, 14",-0.5701149425287356
2014-11-12,3.7,3.58,3.61,59741,59741,-0.13,-3.476,3.5953,"Nov 12, 14",-0.5850574712643678
2014-11-13,3.6,3.41,3.47,105790,105790,-0.14,-3.878,3.5002,"Nov 13, 14",-0.6011494252873563
2014-11-14,3.49,3.3,3.31,88668,88668,-0.16,-4.611,3.3698,"Nov 14, 14",-0.6195402298850574
2014-11-17,3.35,2.81,2.83,195339,195339,-0.48,-14.502,2.9825,"Nov 17, 14",-0.6747126436781609
2014-11-18,2.87,2.55,2.57,289368,289368,-0.26,-9.187,2.6837,"Nov 18, 14",-0.7045977011494252
2014-11-19,2.78,2.43,2.46,211519,211519,-0.11,-4.28,2.5027,"Nov 19, 14",-0.7172413793103448
2014-11-20,2.54,2.21,2.48,222585,222585,0.02,0.813,2.3456,"Nov 20, 14",-0.7149425287356321
2014-11-21,2.57,2.35,2.37,98520,98520,-0.11,-4.435,2.4507,"Nov 21, 14",-0.7275862068965517
2014-11-24,2.43,2.25,2.4,211581,211581,0.03,1.266,2.3419,"Nov 24, 14",-0.7241379310344827
2014-11-25,2.5,2.3,2.34,102243,102243,-0.06,-2.5,2.3932,"Nov 25, 14",-0.7310344827586207
2014-11-26,2.4,2.2199,2.27,186650,186650,-0.07,-2.991,2.2649,"Nov 26, 14",-0.7390804597701149
2014-11-28,2.3,2.09,2.1,59796,59796,-0.17,-7.489,2.1887,"Nov 28, 14",-0.7586206896551725
2014-12-01,2.09,1.85,1.87,203146,203146,-0.23,-10.952,1.9828,"Dec 1, 14",-0.7850574712643678
2014-12-02,2.03,1.8001,1.93,227038,227038,0.06,3.209,1.9441,"Dec 2, 14",-0.7781609195402299
2014-12-03,2.075,1.93,1.94,149915,149915,0.01,0.518,2.0029,"Dec 3, 14",-0.7770114942528736
2014-12-04,2.12,1.91,1.94,109039,109039,0,0,2.0217,"Dec 4, 14",-0.7770114942528736
2014-12-05,2.1,1.94,2.01,69391,69391,0.07,3.608,2.0257,"Dec 5, 14",-0.7689655172413793
2014-12-08,2.09,2.01,2.02,81688,81688,0.01,0.498,2.0429,"Dec 8, 14",-0.767816091954023
2014-12-09,2.14,1.96,2.12,99282,99282,0.1,4.95,2.053,"Dec 9, 14",-0.7563218390804597
2014-12-10,2.2,1.91,1.92,114555,114555,-0.2,-9.434,2.0344,"Dec 10, 14",-0.7793103448275862
2014-12-11,2.0201,1.78,1.82,193327,193327,-0.1,-5.208,1.9254,"Dec 11, 14",-0.7908045977011494
2014-12-12,1.92,1.6,1.89,85479,85479,0.07,3.846,1.8698,"Dec 12, 14",-0.7827586206896552
2014-12-15,1.949,1.4,1.46,267272,267272,-0.43,-22.751,1.6306,"Dec 15, 14",-0.832183908045977
2014-12-16,1.7199,1.45,1.5,168037,168037,0.04,2.74,1.574,"Dec 16, 14",-0.8275862068965517
2014-12-17,1.77,1.4595,1.5,326057,326057,0,0,1.57,"Dec 17, 14",-0.8275862068965517
2014-12-18,2.49,1.5,2.35,1935448,1935448,0.85,56.667,1.7609,"Dec 18, 14",-0.7298850574712644
2014-12-19,4.05,2.73,3.24,10329196,10329196,0.89,37.872,3.5824,"Dec 19, 14",-0.6275862068965516
2014-12-22,3.16,2.65,2.91,1126102,1126102,-0.33,-10.185,2.8483,"Dec 22, 14",-0.6655172413793103
2014-12-23,2.86,2.58,2.76,266432,266432,-0.15,-5.155,2.6826,"Dec 23, 14",-0.6827586206896552
2014-12-24,3.17,2.7,2.79,286111,286111,0.03,1.087,2.8956,"Dec 24, 14",-0.6793103448275861
2014-12-26,2.84,2.5,2.61,300360,300360,-0.18,-6.452,2.5982,"Dec 26, 14",-0.7000000000000001
2014-12-29,2.88,2.39,2.86,330513,330513,0.25,9.579,2.6177,"Dec 29, 14",-0.671264367816092
2014-12-30,2.99,2.63,2.89,251130,251130,0.03,1.049,2.7911,"Dec 30, 14",-0.6678160919540229
2014-12-31,2.95,2.75,2.91,220910,220910,0.02,0.692,2.8474,"Dec 31, 14",-0.6655172413793103
2015-01-02,2.95,2.71,2.95,166524,166524,0.04,1.375,2.8546,"Jan 2, 15",-0.660919540229885
2015-01-05,3.14,2.86,2.9,190836,190836,-0.05,-1.695,3.0037,"Jan 5, 15",-0.6666666666666666
2015-01-06,2.957,2.67,2.8,142488,142488,-0.1,-3.448,2.7761,"Jan 6, 15",-0.6781609195402298
2015-01-07,2.92,2.75,2.84,104646,104646,0.04,1.429,2.8312,"Jan 7, 15",-0.6735632183908046
2015-01-08,3.5,2.88,3.4,402803,402803,0.56,19.718,3.1582,"Jan 8, 15",-0.6091954022988505
2015-01-09,3.4,3.17,3.36,194978,194978,-0.04,-1.176,3.326,"Jan 9, 15",-0.6137931034482759
2015-01-12,3.45,3.24,3.25,126942,126942,-0.11,-3.274,3.3106,"Jan 12, 15",-0.6264367816091954
2015-01-13,3.34,2.9,3.01,194638,194638,-0.24,-7.385,3.0375,"Jan 13, 15",-0.6540229885057471
2015-01-14,3,2.91,2.94,93290,93290,-0.07,-2.326,2.9366,"Jan 14, 15",-0.6620689655172414
2015-01-15,3,2.7,2.71,186362,186362,-0.23,-7.823,2.7904,"Jan 15, 15",-0.6885057471264368
2015-01-16,3,2.71,2.98,150262,150262,0.27,9.963,2.8899,"Jan 16, 15",-0.657471264367816
2015-01-20,3.09,2.86,2.89,102367,102367,-0.09,-3.02,2.954,"Jan 20, 15",-0.6678160919540229
2015-01-21,3.04,2.82,3,209748,209748,0.11,3.806,2.9603,"Jan 21, 15",-0.6551724137931034
2015-01-22,3.09,2.9035,3.09,141495,141495,0.09,3,3.0127,"Jan 22, 15",-0.6448275862068965
2015-01-23,3.16,3.01,3.02,56918,56918,-0.07,-2.265,3.0875,"Jan 23, 15",-0.6528735632183909
2015-01-26,3.2,3,3.12,111683,111683,0.1,3.311,3.1247,"Jan 26, 15",-0.6413793103448275
2015-01-27,3.18,3.0001,3.1,87765,87765,-0.02,-0.641,3.1121,"Jan 27, 15",-0.6436781609195402
2015-01-28,3.14,2.89,2.99,109745,109745,-0.11,-3.548,2.9838,"Jan 28, 15",-0.6563218390804597
2015-01-29,3.14,2.94,3.05,108302,108302,0.06,2.007,3.0361,"Jan 29, 15",-0.6494252873563219
2015-01-30,3.13,2.95,2.97,127562,127562,-0.08,-2.623,3.003,"Jan 30, 15",-0.6586206896551723
2015-02-02,3.01,2.85,2.94,222248,222248,-0.03,-1.01,2.9324,"Feb 2, 15",-0.6620689655172414
2015-02-03,3.1001,2.89,3,247774,247774,0.06,2.041,2.9901,"Feb 3, 15",-0.6551724137931034
2015-02-04,3.1399,2.92,2.94,82000,82000,-0.06,-2,2.9537,"Feb 4, 15",-0.6620689655172414
2015-02-05,3.0688,2.91,2.95,143284,143284,0.01,0.34,2.9626,"Feb 5, 15",-0.660919540229885
2015-02-06,3.17,2.91,3.05,204718,204718,0.1,3.39,3.0473,"Feb 6, 15",-0.6494252873563219
2015-02-09,3.14,2.97,3.05,126647,126647,0,0,3.0636,"Feb 9, 15",-0.6494252873563219
2015-02-10,3.15,2.91,3.03,143452,143452,-0.02,-0.656,3.0037,"Feb 10, 15",-0.6517241379310346
2015-02-11,3.14,2.94,2.95,132466,132466,-0.08,-2.64,3.0116,"Feb 11, 15",-0.660919540229885
2015-02-12,2.9853,2.9,2.97,89747,89747,0.02,0.678,2.9397,"Feb 12, 15",-0.6586206896551723
2015-02-13,2.97,2.85,2.86,156654,156654,-0.11,-3.704,2.888,"Feb 13, 15",-0.671264367816092
2015-02-17,2.88,2.831,2.85,76471,76471,-0.01,-0.35,2.8647,"Feb 17, 15",-0.6724137931034483
2015-02-18,2.875,2.8,2.85,164059,164059,0,0,2.8287,"Feb 18, 15",-0.6724137931034483
2015-02-19,2.888,2.6584,2.69,138933,138933,-0.16,-5.614,2.7576,"Feb 19, 15",-0.6908045977011494
2015-02-20,2.85,2.6,2.79,192209,192209,0.1,3.717,2.7424,"Feb 20, 15",-0.6793103448275861
2015-02-23,2.72,2.55,2.62,238523,238523,-0.17,-6.093,2.6282,"Feb 23, 15",-0.6988505747126437
2015-02-24,2.91,2.63,2.66,309545,309545,0.04,1.527,2.8165,"Feb 24, 15",-0.6942528735632183
2015-02-25,2.9,2.7,2.83,166581,166581,0.17,6.391,2.8527,"Feb 25, 15",-0.6747126436781609
2015-02-26,3.0199,2.85,2.91,180648,180648,0.08,2.827,2.9628,"Feb 26, 15",-0.6655172413793103
2015-02-27,3.09,2.85,2.86,215948,215948,-0.05,-1.718,2.983,"Feb 27, 15",-0.671264367816092
2015-03-02,2.96,2.78,2.82,119481,119481,-0.04,-1.399,2.8514,"Mar 2, 15",-0.6758620689655171
2015-03-03,2.87,2.75,2.81,852562,852562,-0.01,-0.355,2.8461,"Mar 3, 15",-0.6770114942528734
2015-03-04,2.87,2.7547,2.83,130135,130135,0.02,0.712,2.8199,"Mar 4, 15",-0.6747126436781609
2015-03-05,2.89,2.78,2.82,95316,95316,-0.01,-0.353,2.8197,"Mar 5, 15",-0.6758620689655171
2015-03-06,2.85,2.71,2.73,95294,95294,-0.09,-3.191,2.7775,"Mar 6, 15",-0.6862068965517241
2015-03-09,2.88,2.69,2.71,68585,68585,-0.02,-0.733,2.7104,"Mar 9, 15",-0.6885057471264368
2015-03-10,2.71,2.54,2.58,156170,156170,-0.13,-4.797,2.6024,"Mar 10, 15",-0.7034482758620689
2015-03-11,2.67,2.52,2.56,76740,76740,-0.02,-0.775,2.5942,"Mar 11, 15",-0.7057471264367815
2015-03-12,2.68,2.58,2.6,77498,77498,0.04,1.562,2.6221,"Mar 12, 15",-0.7011494252873564
2015-03-13,2.768,2.61,2.74,247699,247699,0.14,5.385,2.7178,"Mar 13, 15",-0.6850574712643678
2015-03-16,2.77,2.7,2.75,135152,135152,0.01,0.365,2.7624,"Mar 16, 15",-0.6839080459770115
2015-03-17,2.82,2.71,2.78,78862,78862,0.03,1.091,2.7826,"Mar 17, 15",-0.6804597701149426
2015-03-18,2.94,2.71,2.89,117342,117342,0.11,3.957,2.8724,"Mar 18, 15",-0.6678160919540229
2015-03-19,2.99,2.8,2.97,155913,155913,0.08,2.768,2.9027,"Mar 19, 15",-0.6586206896551723
2015-03-20,3.02,2.91,2.93,189593,189593,-0.04,-1.347,2.9682,"Mar 20, 15",-0.6632183908045977
2015-03-23,2.99,2.85,2.96,87508,87508,0.03,1.024,2.9131,"Mar 23, 15",-0.6597701149425287
