date,open,high,low,close,volume,unadjustedVolume,change,changePercent,label,changeOverTime
2013-08-05,39.7716,39.7716,39.4152,39.4419,807800,807800,-0.383194,-0.962,"Aug 5, 13",0
2013-08-06,39.4775,39.5845,38.8805,38.9072,1444700,1444700,-0.534682,-1.356,"Aug 6, 13",-0.013556649147226523
2013-08-07,38.8805,39.4686,38.8716,39.3528,1575500,1575500,0.445571,1.145,"Aug 7, 13",-0.0022590189620681268
2013-08-08,39.4241,39.5845,39.1656,39.3973,1155500,1155500,0.044556,0.113,"Aug 8, 13",-0.0011307771684425836
2013-08-09,39.3973,39.4686,38.9339,39.0052,1332600,1332600,-0.392102,-0.995,"Aug 9, 13",-0.011071981826433179
2013-08-12,38.8805,38.9161,38.5686,38.7557,1186100,1186100,-0.249518,-0.64,"Aug 12, 13",-0.017397741995187847
2013-08-13,38.7379,38.8003,38.3725,38.3725,917300,917300,-0.383189,-0.989,"Aug 13, 13",-0.027113298294453227
2013-08-14,38.3458,38.3904,37.8557,37.9715,1541000,1541000,-0.401013,-1.045,"Aug 14, 13",-0.03728015131116904
2013-08-15,37.722,37.8378,37.3032,37.3121,1095700,1095700,-0.659446,-1.737,"Aug 15, 13",-0.05399841285536437
2013-08-16,37.223,37.2764,36.6972,36.8041,2387200,2387200,-0.507952,-1.361,"Aug 16, 13",-0.06687811692641579
2013-08-19,36.7685,36.9734,36.5813,36.7328,1657000,1657000,-0.07129,-0.194,"Aug 19, 13",-0.06868583917103384
2013-08-20,36.8309,37.2408,36.7239,37.0447,1603500,1603500,0.311899,0.849,"Aug 20, 13",-0.060778005116386334
2013-08-21,37.0091,37.0091,36.3675,36.5457,1787500,1787500,-0.499041,-1.347,"Aug 21, 13",-0.07342952545389549
2013-08-22,36.6437,36.8932,36.4566,36.7507,1039800,1039800,0.204966,0.561,"Aug 22, 13",-0.06823200707876637
2013-08-23,36.813,37.1784,36.6348,37.1695,1548700,1548700,0.418834,1.14,"Aug 23, 13",-0.057613857344600485
