date,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-15,37.3581,120,120,0,0,37.3581,"Aug 15, 13",0
2013-08-16,37.3581,360,360,0,0,37.3581,"Aug 16, 13",0
2013-08-19,37.3581,600,600,0,0,37.3581,"Aug 19, 13",0
2013-08-20,37.3581,360,360,0,0,37.3581,"Aug 20, 13",0
2013-09-03,37.3581,120,120,0,0,37.3581,"Sep 3, 13",0
2013-09-09,37.5974,900,900,0.239256,0.64,38.0711,"Sep 9, 13",0.006405572017848875
2013-09-10,35.6748,200,200,-1.9226,-5.114,35.5936,"Sep 10, 13",-0.045058501369181055
2013-09-12,36.7292,229,229,1.0544,2.956,36.7292,"Sep 12, 13",-0.016834367914856527
2013-09-13,35.8884,700,700,-0.840815,-2.289,35.8884,"Sep 13, 13",-0.039340865836324734
2013-09-18,35.8884,174100,174100,0,0,35.7862,"Sep 18, 13",-0.039340865836324734
2013-09-19,35.6833,100,100,-0.205074,-0.571,35.6833,"Sep 19, 13",-0.044830973737957705
2013-09-23,37.4094,100,100,1.7261,4.837,37.4094,"Sep 23, 13",0.0013731961743235785
2013-09-25,36.9223,904,904,-0.487058,-1.302,37.0534,"Sep 25, 13",-0.011665475492597333
2013-09-30,35.7945,200,200,-1.1278,-3.055,35.8419,"Sep 30, 13",-0.041854376962425846
2013-10-03,38.8132,1664,1664,3.0187,8.433,38.7745,"Oct 3, 13",0.03895005366975306
2013-10-04,36.5448,1800,1800,-2.2684,-5.844,37.0031,"Oct 4, 13",-0.021770379114569482
2013-10-10,36.1203,1100,1100,-0.424523,-1.162,35.8474,"Oct 10, 13",-0.03313337669742305
2013-10-15,35.7565,100,100,-0.363747,-1.007,35.7565,"Oct 15, 13",-0.042871559313776605
2013-10-16,36.1309,300,300,0.374368,1.047,36.142,"Oct 16, 13",-0.03284963635730948
2013-10-21,36.2963,400,400,0.165417,0.458,36.1183,"Oct 21, 13",-0.028422216333271716
2013-10-22,36.2963,500,500,0,0,36.2963,"Oct 22, 13",-0.028422216333271716
2013-10-25,35.7304,503,503,-0.565904,-1.559,35.7702,"Oct 25, 13",-0.04357020298141493
2013-11-01,35.4779,200,200,-0.252477,-0.707,35.4779,"Nov 1, 13",-0.050329112026575286
2013-11-04,36.305,100,100,0.82709,2.331,36.305,"Nov 4, 13",-0.028189335110725668
2013-11-11,36.5401,0,0,0.235069,0.647,,"Nov 11, 13",-0.021896188510657603
2013-11-12,36.5401,0,0,0,0,,"Nov 12, 13",-0.021896188510657603
2013-11-13,36.5401,0,0,0,0,,"Nov 13, 13",-0.021896188510657603
2013-11-14,36.5401,0,0,0,0,,"Nov 14, 13",-0.021896188510657603
2013-11-15,36.5401,0,0,0,0,,"Nov 15, 13",-0.021896188510657603
2013-11-18,35.4431,400,400,-1.097,-3.002,34.9664,"Nov 18, 13",-0.05126063691675966
2013-11-21,36.5662,0,0,1.1231,3.169,,"Nov 21, 13",-0.02119754484301927
2013-11-22,36.5662,0,0,0,0,,"Nov 22, 13",-0.02119754484301927
2013-11-25,36.5662,0,0,0,0,,"Nov 25, 13",-0.02119754484301927
2013-11-26,35.2602,0,0,-1.3059,-3.571,,"Nov 26, 13",-0.05615649618155106
2013-11-27,35.2602,0,0,0,0,,"Nov 27, 13",-0.05615649618155106
2013-11-29,35.2602,0,0,0,0,,"Nov 29, 13",-0.05615649618155106
2013-12-02,35.2602,0,0,0,0,,"Dec 2, 13",-0.05615649618155106
2013-12-03,35.2602,0,0,0,0,,"Dec 3, 13",-0.05615649618155106
2013-12-04,35.2602,0,0,0,0,,"Dec 4, 13",-0.05615649618155106
2013-12-05,35.2602,0,0,0,0,,"Dec 5, 13",-0.05615649618155106
2013-12-06,35.208,200,200,-0.052236,-0.148,34.9077,"Dec 6, 13",-0.057553783516827724
2013-12-09,35.208,2,2,0,0,33.5199,"Dec 9, 13",-0.057553783516827724
2013-12-10,35.208,25,25,0,0,34.9406,"Dec 10, 13",-0.057553783516827724
2013-12-12,36.2876,477,477,1.0796,3.066,36.4226,"Dec 12, 13",-0.02865509755581795
2013-12-16,35.3908,1247,1247,-0.896741,-2.471,34.1096,"Dec 16, 13",-0.05266060104769787
2013-12-17,35.3908,494,494,0,0,35.3908,"Dec 17, 13",-0.05266060104769787
2013-12-24,35.3908,50,50,0,0,36.5836,"Dec 24, 13",-0.05266060104769787
2013-12-26,34.5986,400,400,-0.792266,-2.239,34.4591,"Dec 26, 13",-0.07386617627770156
2013-12-27,34.5986,0,0,-0.000018,0,,"Dec 27, 13",-0.07386617627770156
2013-12-30,34.7556,347,347,0.15705,0.454,34.5363,"Dec 30, 13",-0.0696636070892256
2014-01-02,34.7556,95201,95201,0,0,36.5592,"Jan 2, 14",-0.0696636070892256
2014-01-06,36.1503,450,450,1.3947,4.013,36.5255,"Jan 6, 14",-0.03233033799898814
2014-01-07,36.1503,1,1,0,0,37.9705,"Jan 7, 14",-0.03233033799898814
2014-01-08,36.2945,394,394,0.144214,0.399,37.1166,"Jan 8, 14",-0.028470398655177885
2014-01-09,36.2945,1,1,0,0,38.7004,"Jan 9, 14",-0.028470398655177885
2014-01-13,36.2945,62,62,0,0,35.183,"Jan 13, 14",-0.028470398655177885
2014-01-15,36.2945,20,20,0,0,38.6564,"Jan 15, 14",-0.028470398655177885
2014-01-16,36.2945,20,20,0,0,38.6046,"Jan 16, 14",-0.028470398655177885
2014-01-21,36.0975,600,600,-0.196975,-0.543,36.0975,"Jan 21, 14",-0.03374368610823365
2014-01-24,34.2948,250,250,-1.8027,-4.994,34.352,"Jan 24, 14",-0.0819982814971853
2014-01-27,34.2948,50,50,0,0,34.3221,"Jan 27, 14",-0.0819982814971853
2014-01-30,34.2948,4,4,0,0,34.3212,"Jan 30, 14",-0.0819982814971853
2014-02-03,38.2519,307,307,3.9571,11.538,37.6631,"Feb 3, 14",0.02392519962203642
2014-02-04,38.1728,142,142,-0.079141,-0.207,38.1801,"Feb 4, 14",0.02180785425382988
2014-02-06,38.6915,1322,1322,0.51873,1.359,39.0148,"Feb 6, 14",0.03569239334976879
2014-02-07,39.0521,140,140,0.360623,0.932,39.2004,"Feb 7, 14",0.04534491850495616
2014-02-10,37.916,500,500,-1.1361,-2.909,37.6603,"Feb 10, 14",0.01493384299522718
2014-02-11,37.916,12,12,0,0,38.3311,"Feb 11, 14",0.01493384299522718
2014-02-13,37.916,36,36,0,0,39.0653,"Feb 13, 14",0.01493384299522718
2014-02-14,38.6125,362,362,0.696447,1.837,38.9168,"Feb 14, 14",0.033577724777223594
