date,high,low,close,volume,unadjustedVolume,change,changePercent,label,changeOverTime
2015-05-13,7.55,7.55,7.55,5000,5000,0.05,0.667,"May 13, 15",187.75
2015-05-14,7.75,7.75,7.75,850,850,0.2,2.649,"May 14, 15",192.75
2015-05-15,7.75,7.75,7.75,2560,2560,0,0,"May 15, 15",192.75
2015-05-18,7.75,7.75,7.75,1500,1500,0,0,"May 18, 15",192.75
2015-05-19,7.75,7.75,7.75,250,250,0,0,"May 19, 15",192.75
2015-05-20,7.75,7.75,7.75,2350,2350,0,0,"May 20, 15",192.75
2015-05-22,,,7.75,40,40,0,0,"May 22, 15",192.75
2015-05-26,8,8,8,5000,5000,0.25,3.226,"May 26, 15",199
2015-05-27,8.25,8,8.25,1575,1575,0.25,3.125,"May 27, 15",205.25000000000003
2015-05-28,8.25,8.25,8.25,800,800,0,0,"May 28, 15",205.25000000000003
2015-05-29,8.25,8.25,8.25,1447,1447,0,0,"May 29, 15",205.25000000000003
2015-06-01,8.5,8.25,8.5,3050,3050,0.25,3.03,"Jun 1, 15",211.50000000000003
2015-06-03,8.2,8.2,8.2,700,700,-0.3,-3.529,"Jun 3, 15",204
2015-06-04,8,8,8,110,110,-0.2,-2.439,"Jun 4, 15",199
2015-06-05,8.25,8.2,8.25,450,450,0.25,3.125,"Jun 5, 15",205.25000000000003
2015-06-08,8.5,8.5,8.5,850,850,0.25,3.03,"Jun 8, 15",211.50000000000003
2015-06-11,8.25,7.4,7.4,400,400,-1.1,-12.941,"Jun 11, 15",184
2015-06-12,7.5,7.41,7.41,460,460,0.01,0.135,"Jun 12, 15",184.25
2015-06-16,8,7.75,8,215,215,0.59,7.962,"Jun 16, 15",199
2015-06-17,8.5,8.5,8.5,330,330,0.5,6.25,"Jun 17, 15",211.50000000000003
2015-06-26,8.5,8.5,8.5,490,490,0,0,"Jun 26, 15",211.50000000000003
2015-06-30,,,8.5,30,30,0,0,"Jun 30, 15",211.50000000000003
2015-07-01,,,8.5,94,94,0,0,"Jul 1, 15",211.50000000000003
2015-07-06,8,7.5,7.5,330,330,-1,-11.765,"Jul 6, 15",186.5
2015-07-07,,,7.5,35,35,0,0,"Jul 7, 15",186.5
2015-07-09,,,7.5,50,50,0,0,"Jul 9, 15",186.5
2015-07-13,8,7.75,7.75,808,808,0.25,3.333,"Jul 13, 15",192.75
2015-07-14,,,7.75,50,50,0,0,"Jul 14, 15",192.75
2015-07-17,8.5,8.45,8.5,1750,1750,0.75,9.677,"Jul 17, 15",211.50000000000003
2015-07-20,,,8.5,40,40,0,0,"Jul 20, 15",211.50000000000003
2015-07-27,8.45,8.45,8.45,1000,1000,-0.05,-0.588,"Jul 27, 15",210.25
2015-07-29,8,8,8,1100,1100,-0.45,-5.325,"Jul 29, 15",199
2015-07-30,8.4,8.11,8.4,1500,1500,0.4,5,"Jul 30, 15",209.00000000000003
2015-07-31,8.5,8.45,8.5,2600,2600,0.1,1.19,"Jul 31, 15",211.50000000000003
2015-08-03,8.5,8,8.5,920,920,0,0,"Aug 3, 15",211.50000000000003
2015-08-06,8.5,8.5,8.5,1000,1000,0,0,"Aug 6, 15",211.50000000000003
2015-08-07,8.5,8.45,8.45,400,400,-0.05,-0.588,"Aug 7, 15",210.25
2015-08-12,,,8.45,135,135,0,0,"Aug 12, 15",210.25
2015-08-13,8.5,8.5,8.5,650,650,0.05,0.592,"Aug 13, 15",211.50000000000003
2015-08-14,8.5,8.5,8.5,125,125,0,0,"Aug 14, 15",211.50000000000003
2015-08-17,,,8.5,30,30,0,0,"Aug 17, 15",211.50000000000003
2015-08-21,8.5,8.5,8.5,100,100,0,0,"Aug 21, 15",211.50000000000003
2015-08-27,8.5,8.5,8.5,590,590,0,0,"Aug 27, 15",211.50000000000003
2015-08-28,8.45,8.45,8.45,1000,1000,-0.05,-0.588,"Aug 28, 15",210.25
2015-08-31,8.5,8.5,8.5,1000,1000,0.05,0.592,"Aug 31, 15",211.50000000000003
2015-09-02,,,8.5,50,50,0,0,"Sep 2, 15",211.50000000000003
2015-09-04,8.5,8.5,8.5,990,990,0,0,"Sep 4, 15",211.50000000000003
2015-09-08,8.45,8.45,8.45,1000,1000,-0.05,-0.588,"Sep 8, 15",210.25
2015-09-09,8.5,8.5,8.5,4211,4211,0.05,0.592,"Sep 9, 15",211.50000000000003
2015-09-11,8.45,8.45,8.45,325,325,-0.05,-0.588,"Sep 11, 15",210.25
2015-09-15,8.5,8.5,8.5,115,115,0.05,0.592,"Sep 15, 15",211.50000000000003
2015-09-17,8.25,8.25,8.25,100,100,-0.25,-2.941,"Sep 17, 15",205.25000000000003
2015-09-18,,,8.25,50,50,0,0,"Sep 18, 15",205.25000000000003
2015-09-25,8.45,8,8.45,630,630,0.2,2.424,"Sep 25, 15",210.25
2015-09-28,8.5,8.4,8.5,1850,1850,0.05,0.592,"Sep 28, 15",211.50000000000003
2015-09-29,8.5,8.4,8.5,362,362,0,0,"Sep 29, 15",211.50000000000003
2015-09-30,8.5,8.4,8.5,8530,8530,0,0,"Sep 30, 15",211.50000000000003
2015-10-02,8.5,8.48,8.5,12342,12342,0,0,"Oct 2, 15",211.50000000000003
2015-10-05,8.75,8.475,8.75,5125,5125,0.25,2.941,"Oct 5, 15",217.75000000000003
2015-10-06,8.75,8.48,8.48,700,700,-0.27,-3.086,"Oct 6, 15",211.00000000000003
2015-10-07,8.75,8.72,8.75,3200,3200,0.27,3.184,"Oct 7, 15",217.75000000000003
2015-10-08,8.75,8.75,8.75,200,200,0,0,"Oct 8, 15",217.75000000000003
2015-10-09,,,8.75,75,75,0,0,"Oct 9, 15",217.75000000000003
2015-10-12,8.51,8.51,8.51,715,715,-0.24,-2.743,"Oct 12, 15",211.75
2015-10-16,8.75,8.75,8.75,1000,1000,0.24,2.82,"Oct 16, 15",217.75000000000003
2015-10-19,8.8,8.636,8.8,3300,3300,0.05,0.571,"Oct 19, 15",219.00000000000003
2015-10-20,8.85,8.85,8.85,200,200,0.05,0.568,"Oct 20, 15",220.25
2015-10-21,9.25,9.2495,9.2495,6950,6950,0.3995,4.514,"Oct 21, 15",230.2375
2015-10-22,10,8.51,10,13988,13988,0.7505,8.114,"Oct 22, 15",249.00000000000003
2015-10-23,10,9.53,9.53,3700,3700,-0.47,-4.7,"Oct 23, 15",237.25
2015-10-26,,,9.53,49,49,0,0,"Oct 26, 15",237.25
2015-10-27,10,10,10,100,100,0.47,4.932,"Oct 27, 15",249.00000000000003
2015-10-28,10,10,10,2259,2259,0,0,"Oct 28, 15",249.00000000000003
2015-10-29,10.25,10,10.25,1650,1650,0.25,2.5,"Oct 29, 15",255.25000000000003
2015-11-02,10.25,10.25,10.25,1273,1273,0,0,"Nov 2, 15",255.25000000000003
2015-11-03,10.25,10.25,10.25,597,597,0,0,"Nov 3, 15",255.25000000000003
2015-11-04,10.25,10.25,10.25,5950,5950,0,0,"Nov 4, 15",255.25000000000003
2015-11-06,10.25,10.25,10.25,2638,2638,0,0,"Nov 6, 15",255.25000000000003
2015-11-09,10.5,10.21,10.5,1900,1900,0.25,2.439,"Nov 9, 15",261.5
2015-11-10,,,10.5,20,20,0,0,"Nov 10, 15",261.5
2015-11-11,10.35,10.25,10.25,905,905,-0.25,-2.381,"Nov 11, 15",255.25000000000003
2015-11-13,10.5,10.475,10.475,2025,2025,0.225,2.195,"Nov 13, 15",260.875
2015-11-16,10.5,10.45,10.5,2407,2407,0.025,0.239,"Nov 16, 15",261.5
2015-11-17,10.5,10.5,10.5,1200,1200,0,0,"Nov 17, 15",261.5
2015-11-18,10,10,10,205,205,-0.5,-4.762,"Nov 18, 15",249.00000000000003
2015-11-19,10,10,10,100,100,0,0,"Nov 19, 15",249.00000000000003
2015-11-20,10.5,10.5,10.5,2665,2665,0.5,5,"Nov 20, 15",261.5
2015-11-23,10.75,10.5,10.75,5950,5950,0.25,2.381,"Nov 23, 15",267.75
2015-11-24,10.75,10.75,10.75,2700,2700,0,0,"Nov 24, 15",267.75
2015-11-25,10.75,10.62,10.75,5040,5040,0,0,"Nov 25, 15",267.75
2015-11-27,10.75,10.74,10.75,2000,2000,0,0,"Nov 27, 15",267.75
2015-11-30,,,10.75,75,75,0,0,"Nov 30, 15",267.75
2015-12-01,10.75,10.75,10.75,700,700,0,0,"Dec 1, 15",267.75
2015-12-03,,,10.75,66,66,0,0,"Dec 3, 15",267.75
2015-12-07,10.25,10.25,10.25,964,964,-0.5,-4.651,"Dec 7, 15",255.25000000000003
2015-12-08,10.75,10.75,10.75,100,100,0.5,4.878,"Dec 8, 15",267.75
2015-12-14,,,10.75,50,50,0,0,"Dec 14, 15",267.75
2015-12-15,10.75,10.75,10.75,140,140,0,0,"Dec 15, 15",267.75
2015-12-21,11,11,11,2125,2125,0.25,2.326,"Dec 21, 15",274
2015-12-22,11,11,11,640,640,0,0,"Dec 22, 15",274
2015-12-23,11,11,11,1925,1925,0,0,"Dec 23, 15",274
2015-12-24,11,11,11,1811,1811,0,0,"Dec 24, 15",274
2015-12-28,11,10.75,11,1200,1200,0,0,"Dec 28, 15",274
2015-12-29,11,11,11,500,500,0,0,"Dec 29, 15",274
2015-12-30,11.25,11.25,11.25,200,200,0.25,2.273,"Dec 30, 15",280.25
2016-01-04,11.25,11,11,1800,1800,-0.25,-2.222,"Jan 4, 16",274
2016-01-06,11.25,11.25,11.25,115,115,0.25,2.273,"Jan 6, 16",280.25
2016-01-07,11.25,10.75,10.75,2120,2120,-0.5,-4.444,"Jan 7, 16",267.75
2016-01-13,,,10.75,115,115,0,0,"Jan 13, 16",267.75
2016-01-14,10.25,10.25,10.25,473,473,-0.5,-4.651,"Jan 14, 16",255.25000000000003
2016-01-20,10.25,10.25,10.25,260,260,0,0,"Jan 20, 16",255.25000000000003
2016-01-21,10.25,10,10,600,600,-0.25,-2.439,"Jan 21, 16",249.00000000000003
2016-01-22,11.25,10,11.25,5500,5500,1.25,12.5,"Jan 22, 16",280.25
2016-01-25,,,11.25,25,25,0,0,"Jan 25, 16",280.25
2016-01-26,11,11,11,110,110,-0.25,-2.222,"Jan 26, 16",274
2016-01-27,11,10.99,11,625,625,0,0,"Jan 27, 16",274
2016-01-29,11,11,11,500,500,0,0,"Jan 29, 16",274
2016-02-02,10,10,10,110,110,-1,-9.091,"Feb 2, 16",249.00000000000003
2016-02-03,11,10.49,11,625,625,1,10,"Feb 3, 16",274
2016-02-04,11.25,11.25,11.25,500,500,0.25,2.273,"Feb 4, 16",280.25
2016-02-05,11.25,11.25,11.25,450,450,0,0,"Feb 5, 16",280.25
2016-02-08,11.25,10.75,10.75,200,200,-0.5,-4.444,"Feb 8, 16",267.75
2016-02-09,,,10.75,15,15,0,0,"Feb 9, 16",267.75
2016-02-10,11.25,10.75,10.75,800,800,0,0,"Feb 10, 16",267.75
2016-02-12,11.25,10.5,10.5,2570,2570,-0.25,-2.326,"Feb 12, 16",261.5
2016-02-16,10.75,10.5,10.5,2250,2250,0,0,"Feb 16, 16",261.5
2016-02-17,10.5,10,10,2000,2000,-0.5,-4.762,"Feb 17, 16",249.00000000000003
2016-02-18,10,9.6,9.6,715,715,-0.4,-4,"Feb 18, 16",239
2016-02-19,9.6,9.5,9.5,1110,1110,-0.1,-1.042,"Feb 19, 16",236.50000000000003
2016-02-23,9,9,9,600,600,-0.5,-5.263,"Feb 23, 16",224.00000000000003
2016-02-24,9,9,9,613,613,0,0,"Feb 24, 16",224.00000000000003
2016-02-25,,,9,5,5,0,0,"Feb 25, 16",224.00000000000003
2016-02-26,8.99,8.74,8.74,1650,1650,-0.26,-2.889,"Feb 26, 16",217.50000000000003
2016-02-29,9.25,9,9.25,1837,1837,0.51,5.835,"Feb 29, 16",230.25000000000003
2016-03-01,9.55,6.52,9,1480,1480,-0.25,-2.703,"Mar 1, 16",224.00000000000003
2016-03-02,10,9.5,10,1528,1528,1,11.111,"Mar 2, 16",249.00000000000003
2016-03-03,9.5,5,7.5,13355,13355,-2.5,-25,"Mar 3, 16",186.5
2016-03-04,8,8,8,115,115,0.5,6.667,"Mar 4, 16",199
2016-03-07,8.25,8,8.25,1175,1175,0.25,3.125,"Mar 7, 16",205.25000000000003
2016-03-08,8,8,8,130,130,-0.25,-3.03,"Mar 8, 16",199
2016-03-09,8,7.99,7.99,795,795,-0.01,-0.125,"Mar 9, 16",198.75
2016-03-14,9.9,8,9.9,3115,3115,1.91,23.905,"Mar 14, 16",246.50000000000003
2016-03-16,9.75,9.75,9.75,250,250,-0.15,-1.515,"Mar 16, 16",242.75000000000003
2016-03-17,8.25,8.25,8.25,940,940,-1.5,-15.385,"Mar 17, 16",205.25000000000003
2016-03-18,8.5,8.5,8.5,200,200,0.25,3.03,"Mar 18, 16",211.50000000000003
2016-03-21,8.5,8.5,8.5,1000,1000,0,0,"Mar 21, 16",211.50000000000003
2016-03-22,9,8.5,8.5,375,375,0,0,"Mar 22, 16",211.50000000000003
2016-03-23,8.5,8.5,8.5,900,900,0,0,"Mar 23, 16",211.50000000000003
2016-03-24,8.5,8,8,350,350,-0.5,-5.882,"Mar 24, 16",199
2016-03-28,7.4,6,6,1467,1467,-2,-25,"Mar 28, 16",149
2016-03-29,6.25,6,6,3490,3490,0,0,"Mar 29, 16",149
2016-03-30,6.15,6,6.15,8950,8950,0.15,2.5,"Mar 30, 16",152.75
2016-03-31,6.15,6.05,6.05,6000,6000,-0.1,-1.626,"Mar 31, 16",150.25
2016-04-01,6.25,5.8,6,750,750,-0.05,-0.826,"Apr 1, 16",149
2016-04-04,7,6,6.5,1430,1430,0.5,8.333,"Apr 4, 16",161.5
2016-04-05,7,5.5,6,1300,1300,-0.5,-7.692,"Apr 5, 16",149
2016-04-06,6,6,6,2125,2125,0,0,"Apr 6, 16",149
2016-04-07,6,6,6,500,500,0,0,"Apr 7, 16",149
2016-04-08,5.92,5.25,5.92,1100,1100,-0.08,-1.333,"Apr 8, 16",147
2016-04-11,6,5.75,6,18700,18700,0.08,1.351,"Apr 11, 16",149
2016-04-12,6,5.9,6,3300,3300,0,0,"Apr 12, 16",149
2016-04-14,5.75,5.3,5.37,475,475,-0.63,-10.5,"Apr 14, 16",133.25
2016-04-15,5.5,4.99,4.99,525,525,-0.38,-7.076,"Apr 15, 16",123.75
2016-04-18,5.32,5.31,5.32,600,600,0.33,6.613,"Apr 18, 16",132
2016-04-19,6,6,6,145,145,0.68,12.782,"Apr 19, 16",149
2016-04-20,7.99,7.99,7.99,350,350,1.99,33.167,"Apr 20, 16",198.75
2016-04-25,8.25,8,8.25,1185,1185,0.26,3.254,"Apr 25, 16",205.25000000000003
2016-04-28,11,8,11,763,763,2.75,33.333,"Apr 28, 16",274
2016-05-02,8,8,8,283,283,-3,-27.273,"May 2, 16",199
2016-05-03,9,9,9,250,250,1,12.5,"May 3, 16",224.00000000000003
2016-05-04,9.25,9.11,9.11,715,715,0.11,1.222,"May 4, 16",226.75
2016-05-06,8.75,8.75,8.75,100,100,-0.36,-3.952,"May 6, 16",217.75000000000003
2016-05-11,8.25,8,8,279,279,-0.75,-8.571,"May 11, 16",199
2016-05-12,8,8,8,341,341,0,0,"May 12, 16",199
2016-05-16,8,8,8,100,100,0,0,"May 16, 16",199
2016-05-17,7.5,7.5,7.5,100,100,-0.5,-6.25,"May 17, 16",186.5
2016-05-19,7.5,7.49,7.5,545,545,0,0,"May 19, 16",186.5
2016-05-20,7.75,7.5,7.75,450,450,0.25,3.333,"May 20, 16",192.75
2016-05-23,7.75,7.75,7.75,130,130,0,0,"May 23, 16",192.75
2016-05-25,8,8,8,200,200,0.25,3.226,"May 25, 16",199
2016-05-27,7.75,7.75,7.75,100,100,-0.25,-3.125,"May 27, 16",192.75
2016-05-31,8,8,8,100,100,0.25,3.226,"May 31, 16",199
2016-06-02,,,8,40,40,0,0,"Jun 2, 16",199
2016-06-08,7.75,7.5,7.5,2192,2192,-0.5,-6.25,"Jun 8, 16",186.5
2016-06-09,7.5575,7.5575,7.5575,125,125,0.0575,0.767,"Jun 9, 16",187.9375
2016-06-13,7.75,7.75,7.75,100,100,0.1925,2.547,"Jun 13, 16",192.75
2016-06-14,7.5,7.5,7.5,450,450,-0.25,-3.226,"Jun 14, 16",186.5
2016-06-15,7.51,7.51,7.51,250,250,0.01,0.133,"Jun 15, 16",186.75
2016-06-28,,,7.51,65,65,0,0,"Jun 28, 16",186.75
2016-06-29,7.5,7.5,7.5,290,290,-0.01,-0.133,"Jun 29, 16",186.5
2016-06-30,7.15,6.1,6.1,800,800,-1.4,-18.667,"Jun 30, 16",151.5
2016-07-01,6.15,6,6.15,610,610,0.05,0.82,"Jul 1, 16",152.75
2016-07-06,6.4,6.05,6.25,2200,2200,0.1,1.626,"Jul 6, 16",155.25
2016-07-08,7,7,7,100,100,0.75,12,"Jul 8, 16",174
2016-07-11,,,7,50,50,0,0,"Jul 11, 16",174
2016-07-15,10,8,8,400,400,1,14.286,"Jul 15, 16",199
2016-07-18,,,8,28,28,0,0,"Jul 18, 16",199
2016-07-19,8.35,8.25,8.35,1100,1100,0.35,4.375,"Jul 19, 16",207.75
2016-07-20,9.5,9.5,9.5,475,475,1.15,13.772,"Jul 20, 16",236.50000000000003
2016-07-21,10,9.5,9.5,3115,3115,0,0,"Jul 21, 16",236.50000000000003
2016-07-25,9.5,9.5,9.5,1000,1000,0,0,"Jul 25, 16",236.50000000000003
2016-07-26,9.5,8,8,12950,12950,-1.5,-15.789,"Jul 26, 16",199
2016-07-27,8.5,7.9,8.05,16745,16745,0.05,0.625,"Jul 27, 16",200.25000000000003
2016-07-28,8,7.8,7.8,5100,5100,-0.25,-3.106,"Jul 28, 16",194
2016-07-29,7.8,7,7,16111,16111,-0.8,-10.256,"Jul 29, 16",174
2016-08-01,6.7,6.7,6.7,600,600,-0.3,-4.286,"Aug 1, 16",166.5
2016-08-02,6.8,6.8,6.8,250,250,0.1,1.493,"Aug 2, 16",169
2016-08-03,6.8,6.8,6.8,350,350,0,0,"Aug 3, 16",169
2016-08-04,6.7,6.15,6.35,15576,15576,-0.45,-6.618,"Aug 4, 16",157.75
2016-08-05,6.45,6.45,6.45,2225,2225,0.1,1.575,"Aug 5, 16",160.25
2016-08-08,6.44,5.25,5.5,33082,33082,-0.95,-14.729,"Aug 8, 16",136.5
2016-08-09,5.7,5.15,5.15,19024,19024,-0.35,-6.364,"Aug 9, 16",127.75
2016-08-10,5.1,4.85,4.85,6534,6534,-0.3,-5.825,"Aug 10, 16",120.24999999999999
2016-08-11,5,4.25,4.25,9163,9163,-0.6,-12.371,"Aug 11, 16",105.25
2016-08-12,4.5,4.25,4.5,702,702,0.25,5.882,"Aug 12, 16",111.5
2016-08-15,4.6925,4.6925,4.6925,170,170,0.1925,4.278,"Aug 15, 16",116.3125
2016-08-16,5.4,4.9,5,3200,3200,0.3075,6.553,"Aug 16, 16",124
2016-08-17,5,4.95,4.95,7500,7500,-0.05,-1,"Aug 17, 16",122.75
2016-08-22,5.2,5,5.2,600,600,0.25,5.051,"Aug 22, 16",129
2016-08-24,5,4.72,5,400,400,-0.2,-3.846,"Aug 24, 16",124
2016-08-25,5,5,5,500,500,0,0,"Aug 25, 16",124
2016-08-26,4.72,4.72,4.72,394,394,-0.28,-5.6,"Aug 26, 16",116.99999999999999
2016-08-29,4.75,3.64,3.95,2289,2289,-0.77,-16.314,"Aug 29, 16",97.75
2016-08-30,4,3.95,4,2410,2410,0.05,1.266,"Aug 30, 16",99
2016-08-31,4.5,4.11,4.5,3808,3808,0.5,12.5,"Aug 31, 16",111.5
2016-09-01,4.25,4.25,4.25,6000,6000,-0.25,-5.556,"Sep 1, 16",105.25
2016-09-06,4.5,4.5,4.5,615,615,0.25,5.882,"Sep 6, 16",111.5
2016-09-09,4.5,4.5,4.5,781,781,0,0,"Sep 9, 16",111.5
2016-09-12,,,4.5,50,50,0,0,"Sep 12, 16",111.5
2016-09-13,4,3.95,3.95,1250,1250,-0.55,-12.222,"Sep 13, 16",97.75
2016-09-14,3.75,3.75,3.75,325,325,-0.2,-5.063,"Sep 14, 16",92.75
2016-09-15,3.75,3.25,3.25,6690,6690,-0.5,-13.333,"Sep 15, 16",80.25
2016-09-16,3.75,3.25,3.75,5193,5193,0.5,15.385,"Sep 16, 16",92.75
2016-09-19,3.75,3.6,3.6,2280,2280,-0.15,-4,"Sep 19, 16",89
2016-09-20,3.6,3.35,3.6,6130,6130,0,0,"Sep 20, 16",89
2016-09-21,3.7,3.25,3.25,6862,6862,-0.35,-9.722,"Sep 21, 16",80.25
2016-09-22,3.4,3.35,3.35,1325,1325,0.1,3.077,"Sep 22, 16",82.75
2016-09-23,3.4,3.2,3.4,300,300,0.05,1.493,"Sep 23, 16",84
2016-09-26,3.5,3.4,3.5,2500,2500,0.1,2.941,"Sep 26, 16",86.5
2016-09-28,3.59,3.5,3.55,8140,8140,0.05,1.429,"Sep 28, 16",87.74999999999999
2016-09-29,3.85,3.85,3.85,443,443,0.3,8.451,"Sep 29, 16",95.25
2016-09-30,3.6,3.5,3.5,4900,4900,-0.35,-9.091,"Sep 30, 16",86.5
2016-10-04,3.59,3.5,3.59,1200,1200,0.09,2.571,"Oct 4, 16",88.75
2016-10-05,3.59,3.59,3.59,1000,1000,0,0,"Oct 5, 16",88.75
2016-10-06,4,3.7,3.7,1540,1540,0.11,3.064,"Oct 6, 16",91.5
2016-10-07,3.7,3.7,3.7,500,500,0,0,"Oct 7, 16",91.5
2016-10-11,3.65,3.65,3.65,925,925,-0.05,-1.351,"Oct 11, 16",90.25
2016-10-12,3.7,3.7,3.7,100,100,0.05,1.37,"Oct 12, 16",91.5
2016-10-14,3.6,3.5,3.5,1100,1100,-0.2,-5.405,"Oct 14, 16",86.5
2016-10-18,3.6,3.6,3.6,625,625,0.1,2.857,"Oct 18, 16",89
2016-10-20,3.7,3.6,3.7,7570,7570,0.1,2.778,"Oct 20, 16",91.5
2016-10-21,3.6,3.577,3.577,1400,1400,-0.123,-3.324,"Oct 21, 16",88.425
2016-10-24,3.7,3.7,3.7,100,100,0.123,3.439,"Oct 24, 16",91.5
2016-10-25,3.69,3.69,3.69,100,100,-0.01,-0.27,"Oct 25, 16",91.25
2016-10-26,3.65,3.65,3.65,1000,1000,-0.04,-1.084,"Oct 26, 16",90.25
2016-10-27,3.5,3.5,3.5,2010,2010,-0.15,-4.11,"Oct 27, 16",86.5
2016-10-28,3.5,3.5,3.5,1000,1000,0,0,"Oct 28, 16",86.5
2016-11-01,3.45,3.35,3.35,2100,2100,-0.15,-4.286,"Nov 1, 16",82.75
2016-11-02,3.28,3.25,3.25,653,653,-0.1,-2.985,"Nov 2, 16",80.25
2016-11-03,4,3.25,3.35,2300,2300,0.1,3.077,"Nov 3, 16",82.75
2016-11-04,3.25,3.1,3.25,3375,3375,-0.1,-2.985,"Nov 4, 16",80.25
2016-11-07,3.75,2.99,3.75,2388,2388,0.5,15.385,"Nov 7, 16",92.75
2016-11-08,3.05,3.05,3.05,270,270,-0.7,-18.667,"Nov 8, 16",75.25
2016-11-10,3.19,3,3,3370,3370,-0.05,-1.639,"Nov 10, 16",74
2016-11-11,3.1,3.09,3.1,2491,2491,0.1,3.333,"Nov 11, 16",76.5
2016-11-14,3.1,3.1,3.1,1750,1750,0,0,"Nov 14, 16",76.5
2016-11-15,3.35,3.1,3.35,4514,4514,0.25,8.065,"Nov 15, 16",82.75
2016-11-16,3.6,3.4,3.4,8768,8768,0.05,1.493,"Nov 16, 16",84
2016-11-17,3.75,3.65,3.75,3228,3228,0.35,10.294,"Nov 17, 16",92.75
2016-11-18,3.75,3.75,3.75,2467,2467,0,0,"Nov 18, 16",92.75
2016-11-21,3.8,3.79,3.79,3033,3033,0.04,1.067,"Nov 21, 16",93.75
2016-11-23,3.74,3.74,3.74,570,570,-0.05,-1.319,"Nov 23, 16",92.5
2016-11-28,3.75,3.73,3.74,2985,2985,0,0,"Nov 28, 16",92.5
2016-11-29,3.7,3.1,3.5,1434,1434,-0.24,-6.417,"Nov 29, 16",86.5
2016-12-01,,,3.5,90,90,0,0,"Dec 1, 16",86.5
2016-12-05,3.5,3.5,3.5,100,100,0,0,"Dec 5, 16",86.5
2016-12-06,3.5,3.5,3.5,225,225,0,0,"Dec 6, 16",86.5
2016-12-07,3.4,2.1,3,16452,16452,-0.5,-14.286,"Dec 7, 16",74
2016-12-08,2.95,2.95,2.95,200,200,-0.05,-1.667,"Dec 8, 16",72.75
2016-12-09,3.05,3,3.05,500,500,0.1,3.39,"Dec 9, 16",75.25
2016-12-12,3.1,3.1,3.1,500,500,0.05,1.639,"Dec 12, 16",76.5
2016-12-13,3.04,3.04,3.04,200,200,-0.06,-1.935,"Dec 13, 16",75
