date,high,low,close,volume,unadjustedVolume,change,changePercent,label,changeOverTime
2014-02-19,0,0,0.04,0,0,0.04,0,"Feb 19, 14",0
2014-02-20,0,0,0.04,0,0,0,0,"Feb 20, 14",0
2014-02-21,0,0,0.04,0,0,0,0,"Feb 21, 14",0
2014-02-24,0,0,0.04,0,0,0,0,"Feb 24, 14",0
2014-02-25,0,0,0.04,0,0,0,0,"Feb 25, 14",0
2015-03-12,5.25,5.24,5.25,4501,4501,5.21,13025,"Mar 12, 15",130.25
2015-03-13,6,5.5,6,12850,12850,0.75,14.286,"Mar 13, 15",149
2015-03-16,6,6,6,6190,6190,0,0,"Mar 16, 15",149
2015-03-17,6.25,6.25,6.25,5000,5000,0.25,4.167,"Mar 17, 15",155.25
2015-03-18,,,6.25,50,50,0,0,"Mar 18, 15",155.25
2015-03-20,7,6.5,7,14350,14350,0.75,12,"Mar 20, 15",174
2015-03-23,6.75,6.5,6.5,434,434,-0.5,-7.143,"Mar 23, 15",161.5
2015-03-24,6.75,6.5,6.7,7551,7551,0.2,3.077,"Mar 24, 15",166.5
2015-03-25,7,6.71,7,2797,2797,0.3,4.478,"Mar 25, 15",174
2015-03-26,7,7,7,100,100,0,0,"Mar 26, 15",174
2015-03-27,7,6.9,6.9,1214,1214,-0.1,-1.429,"Mar 27, 15",171.5
2015-04-02,7,7,7,1300,1300,0.1,1.449,"Apr 2, 15",174
2015-04-06,7,7,7,897,897,0,0,"Apr 6, 15",174
2015-04-07,7,7,7,2500,2500,0,0,"Apr 7, 15",174
2015-04-08,7,7,7,500,500,0,0,"Apr 8, 15",174
2015-04-13,6.9,6.9,6.9,100,100,-0.1,-1.429,"Apr 13, 15",171.5
2015-04-16,6.9,6.9,6.9,227,227,0,0,"Apr 16, 15",171.5
2015-04-17,7,7,7,400,400,0.1,1.449,"Apr 17, 15",174
2015-04-20,7.25,7,7.25,7490,7490,0.25,3.571,"Apr 20, 15",180.25
2015-04-21,7.5,6.9,7.5,12800,12800,0.25,3.448,"Apr 21, 15",186.5
2015-04-22,7.5,7,7,2305,2305,-0.5,-6.667,"Apr 22, 15",174
2015-04-23,7.5,7.5,7.5,4827,4827,0.5,7.143,"Apr 23, 15",186.5
2015-04-24,7.5,7.5,7.5,1651,1651,0,0,"Apr 24, 15",186.5
2015-04-27,7.5,7.25,7.25,813,813,-0.25,-3.333,"Apr 27, 15",180.25
2015-04-28,7.5,7.5,7.5,125,125,0.25,3.448,"Apr 28, 15",186.5
2015-04-29,,,7.5,25,25,0,0,"Apr 29, 15",186.5
2015-04-30,,,7.5,64,64,0,0,"Apr 30, 15",186.5
2015-05-04,7.5,7.5,7.5,1500,1500,0,0,"May 4, 15",186.5
2015-05-05,7.5,7.5,7.5,200,200,0,0,"May 5, 15",186.5
2015-05-06,7.5,7.5,7.5,160,160,0,0,"May 6, 15",186.5
2015-05-07,7.5,7.5,7.5,170,170,0,0,"May 7, 15",186.5
2015-05-08,7.5,7.5,7.5,750,750,0,0,"May 8, 15",186.5
2015-05-12,7.5,7.5,7.5,5000,5000,0,0,"May 12, 15",186.5
