date,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-21,0.297,400,400,0,0,0.24,"Aug 21, 13",0
2013-09-09,0.2921,5000,5000,-0.0049,-1.65,0.2921,"Sep 9, 13",-0.016498316498316363
2013-09-11,0.266,1340,1340,-0.0261,-8.935,0.285236,"Sep 11, 13",-0.10437710437710429
2013-10-21,0.3567,5000,5000,0.0907,34.098,0.36103,"Oct 21, 13",0.2010101010101011
2013-10-23,0.4023,340,340,0.0456,12.784,0.4023,"Oct 23, 13",0.35454545454545455
2013-11-05,0.402,500,500,-0.0003,-0.075,0.402,"Nov 5, 13",0.3535353535353537
2013-11-18,0.4578,7200,7200,0.0558,13.881,0.454967,"Nov 18, 13",0.5414141414141415
2013-11-19,0.4911,12500,12500,0.0333,7.274,0.48486,"Nov 19, 13",0.6535353535353535
2013-12-09,0.449,160,160,-0.0421,-8.573,0.449,"Dec 9, 13",0.5117845117845119
2013-12-10,0.449,100,100,0,0,0.4927,"Dec 10, 13",0.5117845117845119
2013-12-17,0.4404,5000,5000,-0.0086,-1.915,0.4404,"Dec 17, 13",0.48282828282828294
2013-12-18,0.4404,3000,3000,0,0,0.43,"Dec 18, 13",0.48282828282828294
2013-12-19,0.3899,7500,7500,-0.0505,-11.467,0.3899,"Dec 19, 13",0.31279461279461296
2013-12-27,0.39,16000,16000,0.0001,0.026,0.3898,"Dec 27, 13",0.31313131313131326
2014-01-06,0.3964,100,100,0.0064,1.641,0.3964,"Jan 6, 14",0.33468013468013463
2014-01-09,0.45,50000,50000,0.0536,13.522,0.45,"Jan 9, 14",0.5151515151515152
2014-01-13,0.503,333334,333334,0.053,11.778,0.505392,"Jan 13, 14",0.6936026936026937
2014-01-14,0.51,2400,2400,0.007,1.392,0.5405,"Jan 14, 14",0.7171717171717172
2014-01-15,0.6237,2000,2000,0.1137,22.294,0.6237,"Jan 15, 14",1.1000000000000003
2014-01-16,0.6552,11072,11072,0.0315,5.051,0.655548,"Jan 16, 14",1.2060606060606063
2014-01-22,0.693,6250,6250,0.0378,5.769,0.69448,"Jan 22, 14",1.3333333333333333
2014-01-27,0.653,1180,1180,-0.04,-5.772,0.637331,"Jan 27, 14",1.1986531986531987
2014-01-28,0.68,12500,12500,0.027,4.135,0.67902,"Jan 28, 14",1.2895622895622898
2014-01-29,0.68,3069,3069,0,0,0.68,"Jan 29, 14",1.2895622895622898
2014-01-30,0.6922,2000,2000,0.0122,1.794,0.6922,"Jan 30, 14",1.3306397306397308
2014-01-31,0.7488,12500,12500,0.0566,8.177,0.748644,"Jan 31, 14",1.5212121212121215
2014-02-03,0.769,39100,39100,0.0202,2.698,0.761943,"Feb 3, 14",1.5892255892255893
2014-02-04,0.816,13200,13200,0.047,6.112,0.852598,"Feb 4, 14",1.7474747474747472
2014-02-05,0.834,1000,1000,0.018,2.206,0.834,"Feb 5, 14",1.808080808080808
2014-02-07,1.007,104700,104700,0.173,20.743,1.0069,"Feb 7, 14",2.3905723905723906
2014-02-10,1.115,33835,33835,0.108,10.725,1.13,"Feb 10, 14",2.7542087542087543
2014-02-11,0.957,74747,74747,-0.158,-14.17,1.0707,"Feb 11, 14",2.222222222222222
2014-02-12,0.903,10300,10300,-0.054,-5.643,0.928983,"Feb 12, 14",2.0404040404040407
2014-02-13,0.888,5100,5100,-0.015,-1.661,0.902804,"Feb 13, 14",1.9898989898989898
2014-02-14,0.8268,86402,86402,-0.0612,-6.892,0.838493,"Feb 14, 14",1.783838383838384
2014-02-20,0.827,15000,15000,0.0002,0.024,1.0947,"Feb 20, 14",1.7845117845117846
2014-02-21,0.909,3000,3000,0.082,9.915,0.913,"Feb 21, 14",2.060606060606061
2014-02-24,0.919,500,500,0.01,1.1,0.919,"Feb 24, 14",2.0942760942760947
2014-02-25,0.899,2000,2000,-0.02,-2.176,0.899,"Feb 25, 14",2.0269360269360273
2014-02-27,0.9105,1288,1288,0.0115,1.279,0.902348,"Feb 27, 14",2.0656565656565657
2014-02-28,0.91,100,100,-0.0005,-0.055,0.91,"Feb 28, 14",2.063973063973064
2014-03-03,1.005,4000,4000,0.095,10.44,1.0012,"Mar 3, 14",2.3838383838383836
2014-03-05,1.0839,70215,70215,0.0789,7.851,1.0791,"Mar 5, 14",2.64949494949495
2014-03-06,1.144,10435,10435,0.0601,5.545,1.1204,"Mar 6, 14",2.851851851851852
2014-03-07,1.129,5672,5672,-0.015,-1.311,1.1212,"Mar 7, 14",2.801346801346802
2014-03-10,1.124,7000,7000,-0.005,-0.443,1.1291,"Mar 10, 14",2.784511784511785
2014-03-11,1.1115,1500,1500,-0.0125,-1.112,1.1186,"Mar 11, 14",2.7424242424242427
2014-03-12,1.08,1400,1400,-0.0315,-2.834,1.0757,"Mar 12, 14",2.636363636363637
2014-03-13,1.042,250,250,-0.038,-3.519,1.042,"Mar 13, 14",2.508417508417509
2014-03-18,1.036,10000,10000,-0.006,-0.576,1.0035,"Mar 18, 14",2.4882154882154888
2014-03-21,0.89,3000,3000,-0.146,-14.093,0.886333,"Mar 21, 14",1.9966329966329965
2014-03-24,0.87,120,120,-0.02,-2.247,0.87,"Mar 24, 14",1.9292929292929293
2014-03-25,0.853,100,100,-0.017,-1.954,0.853,"Mar 25, 14",1.8720538720538724
2014-04-02,0.8639,5000,5000,0.0109,1.278,0.8639,"Apr 2, 14",1.9087542087542086
2014-04-08,0.837,10000,10000,-0.0269,-3.114,0.82585,"Apr 8, 14",1.8181818181818183
2014-04-09,0.802,100,100,-0.035,-4.182,0.802,"Apr 9, 14",1.7003367003367007
2014-04-14,0.7599,3300,3300,-0.0421,-5.249,0.746115,"Apr 14, 14",1.5585858585858587
2014-04-15,0.779,19000,19000,0.0191,2.513,0.779711,"Apr 15, 14",1.622895622895623
2014-04-16,0.787,1900,1900,0.008,1.027,0.784789,"Apr 16, 14",1.64983164983165
2014-04-25,0.8382,10000,10000,0.0512,6.506,0.83108,"Apr 25, 14",1.822222222222222
2014-04-28,0.8382,10000,10000,0,0,0.83,"Apr 28, 14",1.822222222222222
2014-04-29,0.827,10000,10000,-0.0112,-1.336,0.8225,"Apr 29, 14",1.7845117845117846
2014-04-30,0.8,10000,10000,-0.027,-3.265,0.8,"Apr 30, 14",1.693602693602694
2014-05-02,0.77,100,100,-0.03,-3.75,0.77,"May 2, 14",1.5925925925925928
2014-05-07,0.759,1000,1000,-0.011,-1.429,0.759,"May 7, 14",1.5555555555555558
2014-05-20,0.764,100,100,0.005,0.659,0.764,"May 20, 14",1.5723905723905724
2014-05-27,0.764,40,40,0,0,0.79,"May 27, 14",1.5723905723905724
2014-05-28,0.76,100,100,-0.004,-0.524,0.76,"May 28, 14",1.558922558922559
2014-06-02,0.758,300,300,-0.002,-0.263,0.758,"Jun 2, 14",1.5521885521885523
2014-06-06,0.683,290,290,-0.075,-9.894,0.683,"Jun 6, 14",1.2996632996633
2014-06-09,0.683,75,75,0,0,0.684,"Jun 9, 14",1.2996632996633
2014-06-13,0.648,100,100,-0.035,-5.124,0.648,"Jun 13, 14",1.1818181818181819
2014-06-20,0.648,72,72,0,0,0.608,"Jun 20, 14",1.1818181818181819
2014-06-23,0.5752,2000,2000,-0.0728,-11.235,0.5752,"Jun 23, 14",0.9367003367003369
2014-06-24,0.572,250,250,-0.0032,-0.556,0.5724,"Jun 24, 14",0.9259259259259258
2014-07-15,0.528,250,250,-0.044,-7.692,0.528,"Jul 15, 14",0.7777777777777779
2014-07-17,0.528,360,360,0,0,,"Jul 17, 14",0.7777777777777779
2014-07-28,0.6133,3000,3000,0.0853,16.155,0.6133,"Jul 28, 14",1.064983164983165
2014-08-11,0.756,900,900,0.1427,23.268,0.756,"Aug 11, 14",1.5454545454545456
2014-08-13,0.756,6000,6000,0,0,,"Aug 13, 14",1.5454545454545456
2014-08-18,0.86,3000,3000,0.104,13.757,0.86,"Aug 18, 14",1.8956228956228955
2014-08-19,0.86,3000,3000,0,0,,"Aug 19, 14",1.8956228956228955
2014-08-22,0.892,5000,5000,0.032,3.721,0.892,"Aug 22, 14",2.0033670033670035
2014-08-25,1.049,66790,66790,0.157,17.601,1.0898,"Aug 25, 14",2.531986531986532
2014-08-26,0.8063,14200,14200,-0.2427,-23.136,0.837677,"Aug 26, 14",1.7148148148148152
2014-08-27,0.813,9400,9400,0.0067,0.831,0.80725,"Aug 27, 14",1.7373737373737375
2014-08-28,0.861,53400,53400,0.048,5.904,0.857118,"Aug 28, 14",1.8989898989898992
2014-08-29,0.807,3700,3700,-0.054,-6.272,0.817486,"Aug 29, 14",1.7171717171717173
2014-09-02,0.742,9500,9500,-0.065,-8.055,0.749183,"Sep 2, 14",1.4983164983164985
2014-09-04,0.7869,200,200,0.0449,6.051,0.7869,"Sep 4, 14",1.6494949494949498
2014-09-08,0.7869,100,100,0,0,,"Sep 8, 14",1.6494949494949498
2014-09-11,0.61,7700,7700,-0.1769,-22.481,0.618147,"Sep 11, 14",1.0538720538720538
2014-09-12,0.6293,1400,1400,0.0193,3.164,0.6293,"Sep 12, 14",1.1188552188552188
2014-09-15,0.629,500,500,-0.0003,-0.048,0.629,"Sep 15, 14",1.1178451178451179
2014-09-16,0.693,5000,5000,0.064,10.175,0.693,"Sep 16, 14",1.3333333333333333
2014-09-17,0.6962,8000,8000,0.0032,0.462,0.6962,"Sep 17, 14",1.3441077441077443
2014-09-18,0.6732,60700,60700,-0.023,-3.304,0.682604,"Sep 18, 14",1.2666666666666668
2014-09-19,0.726,5900,5900,0.0528,7.843,0.716364,"Sep 19, 14",1.4444444444444444
2014-09-23,0.723,4000,4000,-0.003,-0.413,0.723,"Sep 23, 14",1.4343434343434345
2014-09-25,0.723,2400,2400,0,0,,"Sep 25, 14",1.4343434343434345
2014-09-29,0.7917,5000,5000,0.0687,9.502,0.7917,"Sep 29, 14",1.6656565656565656
2014-09-30,0.779,2000,2000,-0.0127,-1.604,0.779,"Sep 30, 14",1.622895622895623
2014-10-01,0.776,2880,2880,-0.003,-0.385,0.789404,"Oct 1, 14",1.612794612794613
2014-10-02,0.776,3000,3000,0,0,,"Oct 2, 14",1.612794612794613
2014-10-06,0.8249,18500,18500,0.0489,6.302,0.830922,"Oct 6, 14",1.7774410774410776
2014-10-08,0.745,10000,10000,-0.0799,-9.686,0.744725,"Oct 8, 14",1.5084175084175084
2014-10-10,0.79,5000,5000,0.045,6.04,0.79,"Oct 10, 14",1.6599326599326603
2014-10-14,0.7949,600,600,0.0049,0.62,0.7949,"Oct 14, 14",1.6764309764309768
2014-10-15,0.75,3462,3462,-0.0449,-5.649,0.722401,"Oct 15, 14",1.5252525252525253
2014-10-16,0.7604,3719,3719,0.0104,1.387,0.757233,"Oct 16, 14",1.5602693602693603
2014-10-17,0.76,3746,3746,-0.0004,-0.053,0.765501,"Oct 17, 14",1.558922558922559
2014-10-20,0.72,17936,17936,-0.04,-5.263,0.733695,"Oct 20, 14",1.4242424242424243
2014-10-21,0.727,4000,4000,0.007,0.972,0.72425,"Oct 21, 14",1.4478114478114479
2014-10-22,0.727,30,30,0,0,,"Oct 22, 14",1.4478114478114479
2014-10-23,0.718,2000,2000,-0.009,-1.238,0.7175,"Oct 23, 14",1.4175084175084176
2014-10-24,0.6885,3200,3200,-0.0295,-4.109,0.689344,"Oct 24, 14",1.3181818181818183
2014-10-27,0.644,2000,2000,-0.0445,-6.463,0.6485,"Oct 27, 14",1.1683501683501685
2014-10-28,0.646,9500,9500,0.002,0.311,0.665095,"Oct 28, 14",1.1750841750841752
2014-10-29,0.646,100,100,0,0,,"Oct 29, 14",1.1750841750841752
