date,open,high,low,close,volume,unadjustedVolume,change,changePercent,label,changeOverTime
"2013-10-08,19.5709,19.6769,19.1857,19.282,4188900,4188900,-0.356364,-1.815,""Oct 8, 13"",0.044342019032350646"
"2013-10-09,19.3398,19.5228,19.0412,19.3205,3358000,3358000,0.038529,0.2,""Oct 9, 13"",0.04642723673449486"
"2013-10-10,19.5998,19.8888,19.5228,19.7443,3372000,3372000,0.423778,2.193,""Oct 10, 13"",0.06938087990770873"
"2013-10-11,19.7443,19.9658,19.6673,19.9562,3503300,3503300,0.211889,1.073,""Oct 11, 13"",0.08085770149431569"
"2013-10-14,19.7636,19.908,19.5131,19.8214,3066400,3066400,-0.134838,-0.676,""Oct 14, 13"",0.07355673146187303"
"2013-10-15,19.8791,20.0621,19.5709,19.7443,3089000,3089000,-0.077051,-0.389,""Oct 15, 13"",0.06938087990770873"
"2013-10-16,19.8117,19.9658,19.6961,19.8599,3478800,3478800,0.115577,0.585,""Oct 16, 13"",0.07564194916401723"
"2013-10-17,19.9562,20.2837,19.8791,20.2259,4487000,4487000,0.365991,1.843,""Oct 17, 13"",0.09546505770907687"
"2013-10-18,20.4474,20.563,20.0525,20.3607,3676600,3676600,0.134838,0.667,""Oct 18, 13"",0.10276602774151972"
"2013-10-21,20.4474,20.5533,20.2933,20.4378,2104100,2104100,0.077051,0.378,""Oct 21, 13"",0.10694187929568381"
"2013-10-22,20.7363,21.1794,20.5533,21.1409,5208400,5208400,0.703091,3.44,""Oct 22, 13"",0.14502282907172598"
"2013-10-23,21.0156,21.2757,20.5244,20.6111,5540000,5540000,-0.529722,-2.506,""Oct 23, 13"",0.11632806703027086"
"2013-10-24,21.2661,22.3062,21.0156,21.8343,9779400,9779400,1.2232,5.935,""Oct 24, 13"",0.18257841230982536"
"2013-10-25,21.921,22.2292,20.8519,21.3335,9907100,9907100,-0.50083,-2.294,""Oct 25, 13"",0.15545433373232306"
"2013-10-28,21.4202,21.7958,21.0734,21.1986,4642800,4642800,-0.134841,-0.632,""Oct 28, 13"",0.14814794755000454"
"2013-10-29,21.921,21.9499,21.2564,21.5454,5769000,5769000,0.34673,1.636,""Oct 29, 13"",0.16693115531893002"
"2013-10-30,21.555,22.1425,21.0156,21.7476,13157000,13157000,0.202258,0.939,""Oct 30, 13"",0.17788261036759398"
"2013-10-31,21.7669,22.0173,21.1601,21.1601,6029300,6029300,-0.587511,-2.701,""Oct 31, 13"",0.14606272984786034"
"2013-11-01,21.2275,21.6417,20.8038,21.6128,7190700,7190700,0.452671,2.139,""Nov 1, 13"",0.17058164033515133"
"2013-11-04,21.7669,23.019,21.738,21.8728,19962000,19962000,0.260049,1.203,""Nov 4, 13"",0.18466363001196975"
"2013-11-05,21.9114,22.0366,21.5068,21.8439,7127300,7127300,-0.028894,-0.132,""Nov 5, 13"",0.18309836269789265"
"2013-11-06,22.4026,22.4026,21.0927,21.5743,8827100,8827100,-0.269678,-1.235,""Nov 6, 13"",0.16849642263300713"
"2013-11-07,21.6995,21.9499,21.1409,21.2661,6393200,6393200,-0.308205,-1.429,""Nov 7, 13"",0.15180384871610175"
"2013-11-08,21.3431,22.3737,21.3046,22.3544,8462000,8462000,1.0883,5.118,""Nov 8, 13"",0.2107478078133377"
"2013-11-11,22.3929,22.5856,22.2099,22.4122,3508100,3508100,0.057791,0.259,""Nov 11, 13"",0.21387834244149195"
"2013-11-12,22.4026,24.5504,21.6706,22.653,40091800,40091800,0.240783,1.074,""Nov 12, 13"",0.22692043134217602"
"2013-11-13,23.3272,23.4042,22.2774,22.4507,20087200,20087200,-0.202261,-0.893,""Nov 13, 13"",0.21596356014363635"
"2013-11-14,22.913,22.9227,22.5181,22.7878,12641900,12641900,0.3371,1.502,""Nov 14, 13"",0.23422140137461886"
"2013-11-15,22.8552,23.1634,22.4603,23.0093,13660700,13660700,0.221521,0.972,""Nov 15, 13"",0.24621817334929288"
"2013-11-18,23.3272,23.8954,23.1538,23.5005,10080800,10080800,0.4912,2.135,""Nov 18, 13"",0.2728223015387281"
"2013-11-19,23.645,23.8858,23.1923,23.3368,14087400,14087400,-0.163734,-0.697,""Nov 19, 13"",0.2639560641922083"
"2013-11-20,23.3946,23.5198,23.0286,23.1731,11182500,11182500,-0.163732,-0.702,""Nov 20, 13"",0.25508982684568854"
"2013-11-21,23.1827,23.3464,22.9034,23.1057,9920500,9920500,-0.06742,-0.291,""Nov 21, 13"",0.25143934182946703"
"2013-11-22,23.3079,23.6546,23.019,23.3753,12430500,12430500,0.269679,1.167,""Nov 22, 13"",0.2660412818943525"
"2013-11-25,23.5487,23.6257,23.1153,23.3464,9436600,9436600,-0.028895,-0.124,""Nov 25, 13"",0.2644760145802754"
"2013-11-26,23.279,23.3464,22.8263,22.9323,10785200,10785200,-0.414149,-1.774,""Nov 26, 13"",0.24204773794500448"
"2013-11-27,23.0382,23.2886,22.7589,23.096,14261600,14261600,0.163735,0.714,""Nov 27, 13"",0.25091397529152426"
"2013-11-29,23.2309,23.2886,22.5856,22.6145,4922900,4922900,-0.481568,-2.085,""Nov 29, 13"",0.2248352136400318"
"2013-12-02,22.6819,22.7493,22.1618,22.1907,9149800,9149800,-0.423782,-1.874,""Dec 2, 13"",0.20188157046681793"
"2013-12-03,22.1425,22.1425,21.1986,21.5646,17623800,17623800,-0.626038,-2.821,""Dec 3, 13"",0.1679710560950642"
"2013-12-04,21.555,21.6032,20.8904,21.0638,16670300,16670300,-0.500834,-2.322,""Dec 4, 13"",0.14084697751756187"
"2013-12-05,21.4491,21.7862,20.6593,21.5261,30725800,30725800,0.462306,2.195,""Dec 5, 13"",0.16588583839291998"
"2013-12-06,21.8825,22.0366,21.3142,21.7187,28364700,28364700,0.19263,0.895,""Dec 6, 13"",0.17631734305351687"
"2013-12-09,23.0671,24.5022,22.5857,23.6932,43197268,43197268,1.9744,9.091,""Dec 9, 13"",0.28325922234920087"
"2013-12-10,23.6354,24.2422,23.5102,23.9628,18660625,18660625,0.269677,1.138,""Dec 10, 13"",0.2978611624140864"
"2013-12-11,24.5022,26.1973,24.4348,25.0319,38843371,38843371,1.0691,4.461,""Dec 11, 13"",0.3557652207351882"
"2013-12-12,25.2342,25.7254,24.5118,24.5118,19981824,19981824,-0.520094,-2.078,""Dec 12, 13"",0.32759582523167585"
"2013-12-13,24.6659,25.3305,24.5793,25.2631,12192421,12192421,0.751246,3.065,""Dec 13, 13"",0.36828735924780515"
"2013-12-16,25.6483,25.7791,25.3787,25.6291,13190945,13190945,0.365993,1.449,""Dec 16, 13"",0.3881104677928648"
"2013-12-17,25.4942,25.6098,24.9935,25.1379,11413199,11413199,-0.4912,-1.917,""Dec 17, 13"",0.36150633960342937"
"2013-12-18,25.0319,25.2631,24.6081,25.2631,9994162,9994162,0.125207,0.498,""Dec 18, 13"",0.36828735924780515"
"2013-12-19,25.1282,25.5135,24.8692,25.1571,6916497,6916497,-0.105943,-0.419,""Dec 19, 13"",0.36254624037956373"
"2013-12-20,25.1957,25.5135,25.1764,25.3594,8530924,8530924,0.202257,0.804,""Dec 20, 13"",0.3735031115781036"
"2013-12-23,25.3209,25.5135,25.0897,25.2149,5403084,5403084,-0.144469,-0.57,""Dec 23, 13"",0.365676775007718"
"2013-12-24,25.0416,25.292,25.0416,25.2823,2652974,2652974,0.067415,0.267,""Dec 24, 13"",0.36932726002393934"
"2013-12-26,25.1571,25.3883,25.0175,25.1668,4226639,4226639,-0.115574,-0.457,""Dec 26, 13"",0.3630716069175065"
"2013-12-27,24.9934,25.1379,23.9917,24.0206,13227018,13227018,-1.1461,-4.554,""Dec 27, 13"",0.3009916970422406"
"2013-12-30,23.9532,24.3192,23.7413,23.8665,8841369,8841369,-0.154103,-0.642,""Dec 30, 13"",0.29264541008378775"
"2013-12-31,23.828,24.3192,23.7221,24.3192,7168395,7168395,0.452673,1.897,""Dec 31, 13"",0.31716432057107874"
"2014-01-02,24.1458,24.8682,24.1362,24.4251,8998943,8998943,0.105945,0.436,""Jan 2, 14"",0.32290002328944445"
"2014-01-03,24.8008,25.7639,24.5696,25.5617,13836062,13836062,1.1365,4.653,""Jan 3, 14"",0.3844599827766433"
"2014-01-06,25.6387,26.1973,25.6194,26.0336,11272273,11272273,0.471938,1.846,""Jan 6, 14"",0.41001879404006863"
"2014-01-07,26.1973,26.3897,25.6869,25.9132,11288775,11288775,-0.120394,-0.462,""Jan 7, 14"",0.4034977495897266"
"2014-01-08,25.3979,26.6596,25.3787,26.6115,15736891,15736891,0.698275,2.695,""Jan 8, 14"",0.44131872417173523"
"2014-01-09,27.199,28.5088,27.1605,28.3355,26056445,26056445,1.724,6.478,""Jan 9, 14"",0.5346931480287922"
"2014-01-10,27.9791,28.7304,27.6902,28.2681,12824160,12824160,-0.06742,-0.238,""Jan 10, 14"",0.5310426630125709"
"2014-01-13,28.1043,28.4414,27.5265,27.5939,10591701,10591701,-0.674193,-2.385,""Jan 13, 14"",0.49452698055060584"
"2014-01-14,27.6902,27.9695,27.6517,27.8058,10601529,10601529,0.211887,0.768,""Jan 14, 14"",0.5060038021372127"
"2014-01-15,27.8347,28.3547,27.642,27.7769,11192558,11192558,-0.028895,-0.104,""Jan 15, 14"",0.5044385348231357"
"2014-01-16,27.8732,28.3066,27.642,28.2584,7034698,7034698,0.48157,1.734,""Jan 16, 14"",0.5305172964746281"
"2014-01-17,28.2199,28.9134,28.0957,28.9134,18304949,18304949,0.654933,2.318,""Jan 17, 14"",0.5659930781604589"
"2014-01-21,29.5298,29.6646,29.0867,29.5298,10612821,10612821,0.616407,2.132,""Jan 21, 14"",0.5993782259942698"
"2014-01-22,29.5779,30.0884,29.5201,30.0499,7583631,7583631,0.520093,1.761,""Jan 22, 14"",0.6275476214977821"
